city,lat,lon
South Creek,46.9994,-122.3921
Roslyn,47.2507,-121.0989
Sprague,47.3048,-117.9713
Gig Harbor,47.3352,-122.5968
Lake Cassidy,48.0639,-122.09200000000001
Tenino,46.8537,-122.8607
Jamestown,48.1229,-123.0911
Three Lakes,47.942,-121.9924
Curlew Lake,48.7311,-118.6663
Chain Lake,47.9038,-121.9861
Pateros,48.0536,-119.8994
Rosburg,46.3076,-123.6344
Parkland,47.1417,-122.4376
Birch Bay,48.923,-122.7543
Ashford,46.7537,-122.0113
Navy Yard City,47.5508,-122.6655
Omak,48.4228,-119.5159
Farmington,47.0887,-117.0464
Buckley,47.1615,-122.02
Cathcart,47.8525,-122.1058
Poulsbo,47.7417,-122.6408
Anacortes,48.4878,-122.6292
Maplewood,47.3715,-122.5689
Creston,47.7595,-118.52
Rockford,47.4513,-117.1307
Wishram,45.6599,-120.9698
Centralia,46.7225,-122.9695
South Hill,47.1203,-122.2848
Longview Heights,46.1796,-122.9577
Erlands Point-Kitsap Lake,47.5973,-122.7021
Amboy,45.9122,-122.4795
St. John,47.0915,-117.5887
Dallesport,45.6316,-121.1749
Ketron Island,47.1569,-122.6343
Mesa,46.5737,-119.0013
Fife,47.2328,-122.3518
Moses Lake North,47.1949,-119.3186
Chewelah,48.2929,-117.7336
Grayland,46.8304,-124.0898
Kittitas,46.9837,-120.4191
Camano,48.1865,-122.4708
Monroe North,47.883,-121.9882
North Bonneville,45.6425,-121.9689
Klickitat,45.818000000000005,-121.1626
Loon Lake,48.0685,-117.6298
Newport,48.1788,-117.0545
Mead,47.7795,-117.35
Cashmere,47.5175,-120.4671
Aberdeen Gardens,47.0587,-123.7791
Ocean Shores,46.9685,-124.1521
Basin City,46.5891,-119.1567
Wilkeson,47.1034,-122.0495
Meadow Glade,45.7524,-122.5614
Arlington Heights,48.2119,-122.06299999999999
Uniontown,46.5391,-117.0861
Oakesdale,47.1305,-117.2465
West Side Highway,46.1841,-122.9178
Conconully,48.5571,-119.7513
Latah,47.2822,-117.1557
Elma,47.0055,-123.4112
Tieton,46.7026,-120.756
Southworth,47.5126,-122.5298
Danville,48.9938,-118.5068
Toppenish,46.3807,-120.3125
River Road,48.0677,-123.1276
Geneva,48.7461,-122.4064
Yakima,46.5923,-120.5496
Moxee,46.5638,-120.3968
Edmonds,47.8114,-122.3533
Kalama,46.0171,-122.8393
Laurier,48.9974,-118.2248
Vashon,47.4122,-122.4726
Country Homes,47.7478,-117.4197
Darrington,48.2546,-121.6029
Metaline Falls,48.8616,-117.3706
Lyle,45.6956,-121.2805
Cascade Valley,47.1371,-119.3272
Spangle,47.4299,-117.3812
Methow,48.1289,-120.0056
Waterville,47.648,-120.0707
Lake Roesiger,47.9839,-121.9129
Milton,47.2522,-122.3154
Krupp,47.4105,-118.9886
Alderton,47.1718,-122.2192
DuPont,47.1079,-122.6496
Edgewood,47.2309,-122.2832
North Puyallup,47.2015,-122.2742
Pacific Beach,47.215,-124.1967
Manson,47.8858,-120.1563
Brewster,48.1034,-119.7751
Battle Ground,45.7764,-122.5413
Shoreline,47.7564,-122.3426
Cosmopolis,46.9541,-123.7725
Airway Heights,47.6459,-117.5792
Grandview,46.2431,-119.9084
Inchelium,48.3378,-118.2372
Grand Coulee,47.9391,-119.0031
Union,47.3475,-123.0952
Torboy,48.6772,-118.6689
Kelso,46.1248,-122.8909
Westport,46.8919,-124.11200000000001
Junction City,46.9713,-123.7651
Lake Ketchum,48.282,-122.348
West Pasco,46.2497,-119.1684
Des Moines,47.3914,-122.3154
Davenport,47.6551,-118.1519
Seattle,47.6211,-122.3244
Lake Stickney,47.8709,-122.2596
Carnation,47.6446,-121.9048
Everett,47.9524,-122.167
Warden,46.9674,-119.0522
Palouse,46.9103,-117.0751
Terrace Heights,46.6024,-120.4482
Clarkston,46.4152,-117.0502
Elmer City,48.0,-118.9534
Mossyrock,46.5305,-122.4887
Summit View,47.1343,-122.3468
Suquamish,47.7238,-122.583
Newcastle,47.5303,-122.1633
Stanwood,48.2451,-122.3426
Kapowsin,46.9727,-122.2272
Donald,46.4737,-120.3923
Altoona,46.2699,-123.6145
South Prairie,47.1373,-122.094
Eschbach,46.667,-120.6337
Indianola,47.7566,-122.5142
Reardan,47.6698,-117.8778
Cowiche,46.6729,-120.7154
Sunday Lake,48.2306,-122.2684
Rocky Point,47.5882,-122.6668
Burbank,46.1991,-118.9728
Lakeland North,47.3374,-122.2814
Granite Falls,48.0874,-121.9704
Camas,45.6003,-122.4306
Skokomish,47.3298,-123.1579
Cusick,48.3328,-117.2961
Rosalia,47.2363,-117.3769
Longbranch,47.2257,-122.7739
Granger,46.3455,-120.1926
North Fort Lewis,47.1221,-122.5966
Tampico,46.5325,-120.8727
Tukwila,47.4748,-122.2727
Cathlamet,46.2056,-123.3835
Wenatchee,47.4338,-120.3286
Port Ludlow,47.9101,-122.7006
Castle Rock,46.2717,-122.9057
Glacier,48.8903,-121.9323
Index,47.8212,-121.5556
Republic,48.6477,-118.7326
Bellevue,47.5953,-122.155
Malo,48.7997,-118.6119
Anderson Island,47.1577,-122.7037
University Place,47.2148,-122.546
Montesano,47.0102,-123.5858
Rainier,46.8917,-122.6867
Fords Prairie,46.7461,-123.0029
Roy,46.9971,-122.5423
Oso,48.2836,-121.9237
Marblemount,48.5378,-121.4346
Elk Plain,47.0448,-122.3671
Burlington,48.4677,-122.3298
Bangor Base,47.7227,-122.7146
Beaux Arts Village,47.5854,-122.2009
Port Gamble Tribal Community,47.8487,-122.5571
Olympia,47.0417,-122.8959
East Wenatchee,47.4172,-120.2809
Addy,48.3588,-117.8372
Minnehaha,45.6577,-122.6204
Bryn Mawr-Skyway,47.4949,-122.2411
Satsop,47.0223,-123.4737
Riverbend,47.4651,-121.7491
Easton,47.2405,-121.1733
Silverdale,47.6663,-122.6828
Napavine,46.5844,-122.9007
Lochsloy,48.0597,-122.0411
Ellensburg,46.9994,-120.54700000000001
McKenna,46.9365,-122.55
Fairfield,47.3848,-117.1748
Northwest Stanwood,48.2623,-122.3501
Mansfield,47.8119,-119.63799999999999
Duvall,47.7354,-121.9725
Markham,46.9155,-123.9814
Waller,47.2035,-122.3699
Longview,46.146,-122.963
Richland,46.2826,-119.2937
Rosedale,47.3453,-122.6368
Vancouver,45.6367,-122.59700000000001
Bethel,47.4874,-122.6175
Custer,48.9143,-122.6397
Lofall,47.8113,-122.6564
Fairwood,47.4467,-122.14299999999999
Winlock,46.4907,-122.9342
Sumner,47.218999999999994,-122.2338
Cottage Lake,47.7466,-122.0755
Puget Island,46.1742,-123.3829
Woods Creek,47.8821,-121.8982
Washougal,45.5812,-122.3433
Sisco Heights,48.1188,-122.1076
Canterwood,47.3766,-122.6022
Wapato,46.4434,-120.4215
Lower Elochoman,46.2185,-123.3698
Lake Goodwin,48.1387,-122.2804
Banks Lake South,47.6315,-119.27600000000001
Kent,47.3887,-122.2128
Bickleton,46.0056,-120.3081
Ryderwood,46.375,-123.0441
Cavalero,47.9845,-122.0746
La Conner,48.3925,-122.4945
Martha Lake,47.848,-122.2326
George,47.0845,-119.8598
Snohomish,47.9277,-122.09700000000001
Eatonville,46.8682,-122.2698
Carson,45.7353,-121.8219
Almira,47.7105,-118.9369
Nooksack,48.9276,-122.3211
Mount Vista,45.7373,-122.6315
High Bridge,47.7968,-122.0281
Lakeland South,47.2784,-122.2831
Kenmore,47.7532,-122.2459
Neah Bay,48.3612,-124.6115
Cliffdell,46.9213,-121.042
Port Angeles East,48.1041,-123.3695
Burien,47.4762,-122.3393
Taholah,47.3283,-124.2728
Wauna,47.386,-122.6694
Connell,46.6624,-118.8405
Disautel,48.345,-119.2299
Santiago,47.2975,-124.2327
Orting,47.0966,-122.2111
Colville,48.5454,-117.8986
Marysville,48.081,-122.1558
Walla Walla,46.0669,-118.3365
Zillah,46.4083,-120.2717
Curlew,48.8777,-118.6045
Key Center,47.3376,-122.7505
Hoodsport,47.402,-123.1542
Spanaway,47.0979,-122.4233
Mattawa,46.7364,-119.9019
Clallam Bay,48.2536,-124.2579
Prairie Ridge,47.1443,-122.1408
Rockport,48.4854,-121.6065
Stansberry Lake,47.3814,-122.7154
Copalis Beach,47.1205,-124.1722
Frederickson,47.0914,-122.3594
Asotin,46.3371,-117.0433
Mill Creek,47.8633,-122.2034
Bell Hill,48.055,-123.087
Green Bluff,47.818999999999996,-117.277
Clayton,48.0013,-117.5612
Puyallup,47.1794,-122.2902
Hockinson,45.7301,-122.4833
Lake McMurray,48.3129,-122.2317
Bucoda,46.7968,-122.868
Issaquah,47.542,-122.0444
Odessa,47.3326,-118.6895
Hazel Dell,45.6797,-122.6553
McMillin,47.1286,-122.2374
Wilbur,47.7583,-118.711
Skamokawa Valley,46.3004,-123.4243
Centerville,45.754,-120.9081
Nile,46.8368,-120.9455
Spokane Valley,47.6625,-117.2346
Woodland,45.9149,-122.7503
Lewisville,45.8127,-122.5144
Vantage,46.9453,-119.9923
Gorst,47.5237,-122.7057
Lake Morton-Berrydale,47.3325,-122.103
Ione,48.7402,-117.4223
Bothell West,47.8056,-122.24
Vaughn,47.355,-122.7773
Black Diamond,47.313,-122.0181
Ferndale,48.8525,-122.5893
Acme,48.7146,-122.2293
White Center,47.5086,-122.348
Fairchild AFB,47.6187,-117.6485
Pacific,47.2611,-122.2507
Glenwood,46.0228,-121.2926
Colfax,46.9032,-117.3394
Silvana,48.2018,-122.2459
Forks,47.9526,-124.3904
Kirkland,47.6997,-122.2041
Okanogan,48.3671,-119.5784
Kayak Point,48.1387,-122.3342
Union Hill-Novelty Hill,47.6788,-122.0284
Outlook,46.3311,-120.0923
Lake Tapps,47.2305,-122.1696
Cohassett Beach,46.8656,-124.1054
Tonasket,48.7077,-119.4412
Sunnyside,46.3159,-120.0058
Lakeview,47.3755,-119.5043
Carbonado,47.0805,-122.0536
Pullman,46.733999999999995,-117.1669
Blyn,48.013000000000005,-122.9897
Brinnon,47.6689,-122.9249
Friday Harbor,48.5324,-123.0655
Orchards,45.6888,-122.5305
Purdy,47.3938,-122.6114
Tekoa,47.2247,-117.0732
Tanner,47.4813,-121.6921
Thorp,47.0656,-120.6709
Artondale,47.3024,-122.639
Liberty Lake,47.6687,-117.1032
Cheney,47.4901,-117.5789
Sammamish,47.6019,-122.0419
Cle Elum,47.1946,-120.9553
Fern Prairie,45.637,-122.3963
Waverly,47.338,-117.2312
Lakewood,47.1628,-122.5299
Lake Marcel-Stillwater,47.6926,-121.9152
Central Park,46.9705,-123.7018
Bridgeport,48.0063,-119.6737
Raft Island,47.3293,-122.6686
Larch Way,47.8429,-122.2527
