title,company,location,description,date
Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL","[       We’re looking for a Data Scientist in our growing Enterprise Analytics area to develop new data science products using machine learning, natural language processing, data visualization techniques, and other forms of advanced analytics.    The Enterprise Analytics team is also a Center of Excellence for data science at Blue Cross and Blue Shield of Illinois, New Mexico, Montana, Oklahoma &amp; Texas. This person will spend approximately a quarter of their time promoting best practices in data science across the enterprise and leading and organizing technical training for the broader community.    At the largest customer-owned and not-for-profit health insurer and fourth largest health insurer overall in the United States, you will have the opportunity to work with massive datasets to drive revenue growth, improve our operational and member-facing processes, and affect how healthcare is delivered to our members.    An ideal candidate would be someone who loves working with data, demonstrates a continuous learning and growth mindset, possesses an interest in the intersection of healthcare and technology, and has an ability to communicate complex technical concepts to non-technical audiences.    Job Purpose:   This position is responsible for employing advanced analytical techniques to create and drive adoption of data-based products and processes to add business value for internal and external customers. They will use data analysis, machine learning, predictive modeling, statistics, visualization, and other data science techniques to derive actionable insights. They will leverage domain expertise and communication skills to identify data-based solutions to customer needs, and present and explain technical findings to non-technical audiences to promote data-driven decision making. They will create analytical processes for automated machine driven decision making where human decision making is not scalable or feasible.    Required Job Qualifications:     Bachelor's degree and 3 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; OR Actuarial credential or Master  s degree and 2 years of work experience in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; OR Ph.D. in a mathematical, statistical, computer science, engineering, physics, economics or related quantitative field; OR 6 years  experience in an advanced mathematical, statistical, computer science, engineering, physics, economics or related quantitative field.  Strong learning and growth mindset  Customer-focused  Strong interpersonal, verbal and written communication skills.  Must demonstrate proficiency in at least four of the following six areas: 1) data analysis and relational-style query languages; 2) machine learning and/or statistical modeling; 3) data visualization; 4) a high-level programming language; 5) distributed computing; 6) understanding of healthcare.  Proficiency with Microsoft applications including Access, Excel, Word and Power Point.    Preferred Job Qualifications:     Masters or Ph.D. in a quantitative field, or bachelors degree with significant healthcare experience.    This position is based in Chicago, IL.  Relocation will not be provided for this position.       HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants. We are an Equal Opportunity Employment / Affirmative Action employer dedicated to workforce diversity and a drug-free and smoke-free workplace. Drug screening and background investigation are required, as allowed by law. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected veteran status.     Requirements:       Expertise   Analytics &amp; Reporting       Job Type   Full-Time Regular       Location   IL - Chicago          HCSC is committed to diversity in the workplace and to providing equal opportunity and affirmative action to employees and applicants.   If you are an individual with a disability or a disabled veteran and need an accommodation or assistance in either using the Careers website or completing the application process, you can call us at 1-866-977-7378 to request reasonable accommodations.   Please note that only  requests for accommodations in the application process  will be returned. All applications, including resumes, must be submitted through HCSC's Career website on-line application process. If you have general questions regarding the status of an existing application, navigate to ""my account"" and click on ""View your job submissions"".    ]",12-27-2019
Data Scientist,Social Science Research Solutions (SSRS),"Glen Mills, PA","[      SSRS Data Scientist    SSRS, a leading data-driven survey research and data capture firm, is seeking an experienced data scientist to work with our growing team of skilled data capture professionals to deploy advanced predictive and prescriptive analytic solutions to meet our clients’ often challenging research needs. SRSS specializes in rigorous data capture for public policy, health care, public opinion, and other non-partisan research areas.       Key Responsibilities      Use machine learning methods (e.g., cluster analysis, decision trees, random forest, neural networks, logistics regression) to model and predict research outcomes   Use advanced mathematical techniques (correlation, regression, time series analysis, analysis of variance, etc.) to forecast outcomes   Identify appropriate methods to conduct analyses including simulation methods (e.g., bootstrap, monte carlo, bagging methods), machine learning, and statistical analyses   Develop data visualizations to capture trends and summarize data   Create reports of data metrics, trends, outliers, etc.   Hands on experience with R and/or Python to manipulate and transform data   Ability to communicate through graphical representation/visualizations, reports, algorithms, models, and dashboards   Process and prepare both structured and unstructured data sets to ensure successful modeling further downstream of the insight generation and modeling process      Qualifications      Master’s Degree or Technical Bachelor’s degree (four year degree or greater in a mathematic, scientific or information technology field of study);   2 or more years of related work experience;   Hands on experience with R, SAS and/or Python to manipulate and transform data   Experience working with databases (Teradata, Oracle, SQL and NoSQL dbs) and interpreting data; experience with feature engineering and data wrangling of both unstructured and structured data sets;   Exposure to data visualization tools and techniques (matplotlib, ggplot or Tableau);   Experience with business case analysis (problem identification, quantitative modeling and problem solving)      ]",12-27-2019
Sr. Data Scientist,Reef Kitchens,"Waltham, MA","[   Schedule: M-F     SR. DATA SCIENTIST     Boston, MA         Who You’ll Work For    REEF Technology is the ecosystem that connects the world to your block. Each REEF hub is a thriving, connected ecosystem of businesses, cities and people, that enables and provides the delivery of products and services to more people than ever before. Each location offers a variety of services including micro-fulfillment centers, bike and scooter rental stations, electric vehicle charging, rideshare and autonomous vehicle buffering areas, community spaces for pop-up businesses, and more.        REEF Technology has reimagined the role of a parking facility. We are the largest network of parking lots in North America, believing these locations can do a lot more than just store your car. They serve as buffers for high density, high activity areas and, as such, alleviate congestion and the ensuing pollution. But, with the explosive growth of the sharing and on-demand economy, it is expected that the need for parking to solely store cars will be outgrown by other needs.        We are part of SoftBank, and its portfolio of leading companies transforming business and commerce at the cutting edge of technology in the world today     What You’ll Do        Analyze and integrate large relational and non-relational databases to extract insights and drive products     Develop machine learning models and AI solutions for multivariate time-series forecasting     Optimization and validation of the model performance     Collaborate with business and technology teams to understand the business and build advanced data and model platforms     Communicate results with internal and external stakeholders to achieve business objectives              Who Are You?        Degree in a quantitative field ( e.g. , Computer Science, Engineering, Mathematics, Statistics, Operations Research or other related fields)     Knowledge of multivariate statistics, regression, classification, modeling, decision theory, time-series analysis, hypothesis testing, machine-learning, and deep-learning tools     Ability to appropriately select and apply quantitative analysis techniques to answer complex questions     Proficiency in using Python, SQL, Hadoop, Spark for data extraction and analysis     Experience with scientific computing and analysis packages such as NumPy, SciPy, Pandas, Scikit-learn     Experience with machine learning libraries and packages such as PyTorch, TensorFlow, or Keras     Experience with Greenplum, Postgres, and MySQL     Experience with data visualization libraries such as Matplotlib, Plotly, or ggplot2     Proven to thrive in startup environments     Organized, detail oriented and capable of putting ideas into a tangible product       Desired but not Required        Working with public clouds ( e.g.,  AWS and/or Google cloud)     Hands-on work with graph databases     Database design          What We’ll Provide    Competitive Compensation and Benefits    Special Instructions:   ]",12-27-2019
Pharmaceutical Data Scientist,Pharma RI International,"Woodcliff Lake, NJ","[    Job Description:   Our Neurology Business Group is currently looking to fill a Senior Manager, Data Operations position at its North American Headquarters in Woodcliff Lake, NJ.  Responsibilities include but are not limited to: - Strong clinical data knowledge. - Strong technical skills and programming experience in R, in Python or Java. - Background in Hadoop technology. - Experience in Big Data Analytics and knowledge of Artificial Intelligence (AI). - Experience in Review and Quality assurance of datasets and programming specifications produced by other programmers. - Responsible for implementing new technologies for end users and streamlining the process from data collection to submission.   Job Qualifications:   *- Bachelor’s degree in life sciences or technology field required. - Must possess 5 or more years of relevant programming and application development experience in CRO, pharmaceutical or biotech organizations. - At least 5 years SAS programming experience required. - Must have strong technical and programming experience in R and Python or Java. - Must have background in Hadoop technology.  - Experience with Big Data Analytics and knowledge of AI.  Job Type: Full-time  Experience:   data science: 5 years (Required)   Education:   Bachelor's (Required)   Location:   Woodcliff Lake, NJ (Required)    ]",12-27-2019
Data Scientist - Economic Data,Zillow,"Seattle, WA 98101","[       About the team   Join our industry-leading Economic Research team bringing innovative analysis, creativity and excellence to the U.S. housing market. We create, productionalize, analyze, and share a full suite of housing data products and analysis for an audience inside and outside of Zillow. Our work contextualizes Zillow’s unparalleled living database of all homes and hundreds of millions of customers to provide insight to everyday consumers and open data to hundreds of researchers and policymakers across the country. You’ll work in an informal, fun, collaborative atmosphere with a dynamic team with a diverse range of interests and skills.     About the role    Once you are here, you'll work to make important decisions that influence the direction of the company. More specifically, you will:     Dive into and explore Zillow's rich set of internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to help us answer challenging analytical problems.     Participate in leading analytical efforts to develop scalable and methodologically rigorous approaches to performance measurement (e.g., AB testing, incrementality testing)     Help us analyze and explore where and how our existing Machine Learning models can be improved, and build understanding of our existing Machine Learning models to help us create reporting around those models.     Assist us in designing and administering experiments for how users interact with our models and how we can foster deeper trust.     Collaborate with other applied and data scientists on the team and across the company by leading learning academies and serving as an available resource for all things related to analytics.     Mature a common language and approach to analyzing and communicating information and insights across our partners.     Tell stories that describe analytical results and insights in meetings of all sizes with diverse audiences.     Provide thought leadership across a variety of technical and non-technical audiences to ensure that all levels of Zillow Group make decision with an analytical foundation.        Who you are    You will not shy away from complexity or uncertainty. You will develop a deep understanding of our mission, business models, and personas. We want you to use that intuition you've developed (in school, business, and real life) to find opportunities for growth and cultivate insights from our massive data sets. We expect:     You have a Master's degree or higher in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar).     Experience in academic setting or internships involving quantitative data analysis and complex problem solving.     You have developed command of SQL and either Python or R professionally or academically     Experience with visualization software like Tableau, PowerBI, or similar     You have experience directly querying multi-terabyte-sized data sets including clickstream data (like Google Analytics), third party data (like Facebook) and raw data ingested from non-standard platforms.     You have strong written, verbal, and visual communication skills to concisely communicate in a way that provides context, offers insights, and minimizes misinterpretation.        Get to know us   Zillow is the leading real estate and rental marketplace dedicated to empowering consumers with data, inspiration and knowledge around the place they call home, and connecting them with the best local professionals who can help. Zillow is part of Zillow Group, whose mission is to build the largest, most trusted and vibrant home-related marketplace in the world.    At Zillow Group, we're powered by our inclusive work culture, where everyone has the support and resources to do the best work of their careers. Our efforts to streamline the real estate transaction is supported by our passion to empower people and enrich lives around everything home, a deep-rooted culture of innovation, a fundamental commitment to Equity and Belonging, and world-class benefits. But, don't just take our word for it. Read our reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune 100 Best Companies to Work For (#69), Fortune Best Workplaces for Diversity (#38), Fortune Best Workplaces for Parents (#31), Fortune Best Workplaces for Women (#20), Fatherly's Best Workplaces for New Dads (#37), JUST Capital 100 Company (#69), Bloomberg Gender Equality Index constituent.      Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know.     ]",12-27-2019
Senior Data Scientist,Highland Math,"Arlington, MA","[    As a Senior Data Scientist at Highland Math, you will take on the following challenges:     Dissect complex client business needs and translate them into actionable solutions   Explore vast, disparate data sets to find key insights and novel applications of data   Develop cutting edge quantitative programs backed by machine learning and statistics   Use distributed computing to ingest and analyze large amounts of data across many sources   Visualize and communicate key insights to clients (including non-technical audiences)   Contribute thought leadership to the data science community     Are you the ideal candidate?         Essential     You have a degree in a quantitative field such as statistics, mathematics, data science, computer science, or engineering   You love working with data sets of all sizes and structures, and are fluent in manipulating them   Experience with common machine learning algorithms and statistical concepts   Fluency with Python for both scripting and data analysis acquired over 2+ years of work experience   Desire to join a startup and make a massive impact on the data economy   Ability to thrive in an ambitious yet often ambiguous environment   Eager to learn new skills and continue to grow as a data scientist     Ideal     Experience using Hadoop ecosystem to do distributed computing on the cloud   Working knowledge of advanced machine learning algorithms   Ability to apply best practices in big data ETL   Fluency with linux command line     ]",12-27-2019
Data Scientist,Sedgwick,Georgia,"[      IF YOU CARE, THERE'S A PLACE FOR YOU HERE    For a career path that is both challenging and rewarding, join Sedgwick's talented team of 21,000 colleagues around the globe. Sedgwick is a leading provider of technology-enabled risk, benefits and integrated business solutions. Taking care of people is at the heart of everything we do. Millions of people and organizations count on Sedgwick each year to take care of their needs when they face a major life event or something unexpected happens. Whether they have a workplace injury, suffer property or financial loss or damage from a natural or manmade disaster, are involved in an auto or other type of accident, or need time away from work for the birth of a child or another medical situation, we are here to provide compassionate care and expert guidance. Our clients depend on our talented colleagues to take care of their most valuable assets - their employees, their customers and their property. At Sedgwick, caring counts®. Join our team of creative and caring people of all backgrounds, and help us make a difference in the lives of others.     PRIMARY PURPOSE : To develop and manage predictive modeling assignments through completion; to communicate results; to make recommendations to management; and to ensure model ownership, implementation, and monitoring; to spot trends and to gain maximum insight that can give the company a competitive advantage.     ESSENTIAL FUNCTIONS and RESPONSIBILITIES      Develops, prepares, and manages predictive models through completion.   Identifies required resources; researches data, procedures, and history for a thorough understanding of project direction.   Collects new data and statistics from multiple sources and generates statistical analysis.   Collaborates with data management team to develop, refine, and scale data management and analytics procedures, systems, workflows, best practices, and other issues.   Partners with both business and IT leaders to influence how the organization approaches and meets business challenges of an evolving customer base and changing marketplace, using strong business acumen.   Prepares reports using various system programs and coordinating with other departments.   Develops and trains the data management team on new or updated procedures as needed.     ADDITIONAL FUNCTIONS and RESPONSIBILITIES     Performs other duties as assigned.   Supports the organization's quality program(s).      QUALIFICATIONS      Education &amp; Licensing   Bachelor's degree from an accredited college or university with major in Business Analytics, Statistics, Mathematics, or Computer Science; SAS certifications preferred..     Experience   Eight (8) years of related experience or equivalent combination of education and experience to include five (5) years of statistical modeling experience with solid background in the fundamentals of machine learning and statistics.     Skills &amp; Knowledge      Experience in managing and manipulating large datasets   Knowledge of advanced analytics tool such as SAS or R   Thorough knowledge of insurance industry business practices and processes   Excellent oral and written communication, including presentation skills   PC literate, including Microsoft Office products   Analytical and interpretive skills   Strong organizational skills   Good interpersonal skills   Ability to analyze and interpret complex concepts   Ability to work in a team environment   Ability to meet or exceed Performance Competencies      WORK ENVIRONMENT   When applicable and appropriate, consideration will be given to reasonable accommodations.     Mental:  Clear and conceptual thinking ability; excellent judgment, troubleshooting, problem solving, analysis, and discretion; ability to handle work-related stress; ability to handle multiple priorities simultaneously; and ability to meet deadlines     Physical:  Computer keyboarding, travel as required     Auditory/Visual:  Hearing, vision and talking    The statements contained in this document are intended to describe the general nature and level of work being performed by a colleague assigned to this description. They are not intended to constitute a comprehensive list of functions, duties, or local variances. Management retains the discretion to add or to change the duties of the position at any time.      Sedgwick is an Equal Opportunity Employer        and a        Drug-Free Workplace      ]",12-27-2019
Intern (Masters) - Data Scientist,Visa,"Foster City, CA 94404","[   Job Description    To ensure that Visa’s payment technology is truly available to everyone, everywhere requires the success of our key bank or merchant partners and internal business units. The Digital Products Platform - Data Analytics and Insight group supports these partners by using our extraordinarily rich data set that spans more than 3 billion cards globally and captures more than 100 billion transactions in a single year. Our focus lies on building creative solutions that have an immediate impact on the business of our Digital Products partners. To support our rapidly growing products, we are looking for Intern - Data Scientist who are equally passionate about the opportunity to use Visa’s rich data to tackle meaningful business problems in our digital solutions.   The position is based at our headquarter office in Foster City, CA.    Responsibilities    Be an out-of-the-box thinker who is passionate about brainstorming innovative ways to use our unique data to answer business problems     Product Performance:  Develop and standardize a series of reports and dashboards to track end-to-end traffic and performance for multiple digital payment products.    Data Insights:  Analyze business metrics and develop insights to drive key business decisions. Design visualization to translate the complex patterns to business users    Models:  Develop both business and statistical models using predictive analytics and machine learning to support product growth and forecast outlook    Analytics:  Ability to break down a problem from the business level, translate into tangible, methodical next steps. Extract and understand data to form an opinion on how to best help our clients and derive relevant insights    Cross-functional:  Taking the next steps from the analysis above and communicate to technical, product and business partners.       Qualifications    Basic Qualifications:    Must graduate with a Masters degree between August 2020 - June 2021 to be considered.   Minimum GPA of 3.0 out of 4.0 (or equivalent scale)    Preferred Qualifications:    1+ years experience in data-based decision-making or quantitative analysis   Master’s degree in an analytical field such as statistics, operations research, economics, computer science or many others (graduate degree is a plus)   Experience with extracting and aggregating data from large data sets using SQL or other tools (i.e., Hadoop Hive)   Competence in Excel, PowerPoint and Tableau   Experience in understanding and analyzing data using statistical software (e.g., Python, SAS, R, Stata or others)   Previous exposure to financial services, credit cards or merchant analytics and knowledge of digital and mobile payment landscape   Demonstrate analytical and critical thinking skills   Excellent in task prioritization skill    Additional Information    Visa will consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.    ]",12-27-2019
Data Scientist,Market America Inc,"Monterey, CA 93940","[    Market America- SHOP.COM is seeking a  Data Scientist  supporting our product, engineering, leadership and marketing teams with insights gained from analyzing company data.       In this role you will be adept at using large data sets to find opportunities for product and process optimization. You must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. You will be an NLP expert with proficiencies in applying Information, theory techniques for informational retrieval and relevancy scoring. Applying out of Box methodologies for increasing precision for search relevancies. Have a proven ability to drive business results with your data-based insights. You should be comfortable working with a wide range of stakeholders and functional teams. The ideal candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.        What are the day to day responsibilities?     Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.   Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.   Assess the effectiveness and accuracy of new data sources and data gathering techniques.   Develop custom data models and algorithms to apply to data sets.   Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.   Coordinate with different functional teams to implement models and monitor outcomes.   Develop processes and tools to monitor and analyze model performance and data accuracy.          What skills will you need to be successful in this role?     Strong problem-solving skills with an emphasis on product development.   Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.   Experience working with and creating data architectures.   Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.   Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.   Excellent written and verbal communication skills for coordinating across teams.   A drive to learn and master new technologies and techniques.          Additional Requirements for the role?     We’re looking for someone with  4-6 years of experience  manipulating data sets and building statistical models, has a  Master’s degree  or  PhD  in Statistics, Mathematics, Computer Science or another quantitative field, and is familiar with the following software/tools:   Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.   Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.   Experience analyzing data from 3rd party providers: Google Analytics, Adobe Analytics   Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark   Experience visualizing/presenting data         We are proud to be an equal opportunity employer and we offer competitive salaries and benefits, including health, dental, vision, life, short and long-term disability insurance, and a 401(k) retirement plan with company match.       #LI-KR1    ]",12-27-2019
Senior Data Scientist - Technology,Walmart,"Bentonville, AR 72712","[     Position Summary...   Demonstrates up-to-date expertise and applies this to the development, execution, and improvement of action plans by providing expert advice and guidance to others in the application of information and best practices; supporting and aligning efforts to meet customer and business needs; and building commitment for perspectives and rationales. Provides and supports the implementation of business solutions by building relationships and partnerships with key stakeholders; identifying business needs; determining and carrying out necessary processes and practices; monitoring progress and results; recognizing and capitalizing on improvement opportunities; and adapting to competing demands, organizational changes, and new responsibilities. Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity by incorporating these into the development and implementation of business plans; using the Open Door Policy; and demonstrating and assisting others with how to apply these in executing business processes and practices.     What you'll do...    As customer data has gotten more granular and compute has gotten cheaper, Walmart has grown an appetite for analytics that model customer-retailer interactions at a granular level while maintaining compute scalability. As a data scientist, you will push the boundary of how deeply we understand how all our customers interact with Walmart and our competition.   We're looking for candidates with experience building insightful yet parsimonious models at scale, for example involving large-scale network or location data. You'll be working with a diverse team of data scientists to turn complex models into real insights. You'll also personally be able to influence highly impactful business strategies that affect potentially all of Walmart's US assets.   In this new, exciting and challenging field there are limitless opportunities for highly motivated candidates who possess an insatiable curiosity to explore and solve the ever-evolving business challenges in the retail space.   The capabilities associated with managing and analyzing large amounts of data through traditional and non-traditional analytical processes to gain valuable business insights that can be leveraged to drive our business forward is quite possibly advancing more rapidly than any other technology field today. What better place to be involved, then the World’s Largest Retailer in an organization emboldened to pioneer new concepts and answer the call of, “What’s next?”   How data can transform and redefine the world of retail and the shopping experience for our customers and defining new ways to compete is anything but a small task; we are up for the challenge!   You will make an impression if:   You enjoy and are advanced in statistical analytical approaches (e.g. regression, clustering, predictive analysis)  You have an affinity for coding (e.g. R, Python, Arc GIS, Alteryx, Java)  You’ve worked with large-scale database systems (e.g. Hive, Teradata, DB2)  You’ve used large-scale customer- or retail-relevant data to find insights (e.g. Nielsen, Census, NCR, Experian)  You enjoy visualizing data in new and exciting ways using Tableau, Excel, PowerBI or other data visualization tools  You have an advanced degree in Geographic Information Services or Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology, Engineering or related STEM field  You are an innately curious, critical thinker who see both the big picture and the details    You will make an impact by:   Leading, influencing and delivering clear and concise messages to business partners  Executing well thought out project plans and strategies  Designing the most cost-effective sequence of investments to an asset that will drive sales and ensure future financial health  Incorporating cutting edge technology that simplifies processes and improves financial health of an asset    Fifty years ago, Sam Walton open a single shop and transformed it into the world’s biggest retailer. Since those founding days, one thing has remained consistent: our commitment to helping our customers same money so they can live better. Today, we are reinventing the shopping experience and out associates are at the heart of it. When you join the Walmart family, you will play a crucial role in the shaping the future of retail, improving millions of lives around the world.   This is the place where your passions meet purpose. Join our family and build a career you can be proud of.      Minimum Qualifications...     Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.     Minimum Qualifications: Bachelor of Science and 5 years' data science experience OR Master of Science and 2 years' data science experience.     Preferred Qualifications...     Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.       ]",12-27-2019
