Tech,Percentage
python,14.879391714735185
sql,16.282118510749868
r,10.684320922915575
spark,4.549029889879392
hadoop,4.3261667540639746
java,2.8185631882538016
tableau,5.374934452018878
aws,2.8972207656004194
sas,4.221289984268484
hive,2.2155217619297325
scala,1.9140010487676982
excel,4.981646565285789
tensorflow,1.7042475091767175
azure,1.6780283167278447
nosql,1.3109596224436286
linux,1.101206082852648
c,3.526481384373361
matlab,0.9832197168327216
sklearn,0.2097535395909806
xgboost,0.2884111169375983
nlp,1.4944939695857367
pandas,0.9963293130571578
git,1.0356581017304667
keras,0.6423702149973781
javascript,0.7210277923439958
pig,0.4457262716308337
hbase,0.5768222338751966
docker,0.39328788673308857
numpy,1.0225485055060304
pytorch,0.8521237545883588
spss,0.6816990036706869
mysql,0.8783429470372313
perl,0.3015207131620346
cassandra,0.36706869428421607
mongodb,0.6161510225485055
gcp,0.47194546407970633
kubernetes,0.275301520713162
databricks,0.275301520713162
postgresql,0.24908232826428944
mapreduce,0.7603565810173046
caffe,0.19664394336654428
airflow,0.2097535395909806
alteryx,0.4063974829575249
bigquery,0.18353434714210803
