title,company,location,description
Data Scientist,ADP,"Atlanta, GA 30328","[     As the original cloud service,  ADP collects and processes the data to support the payrolls and W-2s of roughly 1 in 6 US citizens. ADP is also the market leader across the full spectrum of Human Capital Management. Starting with the employee recruiting process; ADP collects the employment behavior data on an employee's benefit elections, timecard management, performance and compensation reviews, competency assessments, and succession planning. When an employee ultimately moves on in their career from one company to the next... chances are they will start again at an ADP client.   With Data as its middle name; ADP is poised to change the game of human behavior analytics pertaining to a company's employees. ADP Data Cloud provides its clients not only the ability to read the pulse of its own human capital...but also provides the information on how they stack up within their industry, along with the best courses of action in order to achieve its goals through quantifiable insights.   Through ADP's Data Platform, the Data Science team is looking for a Lead Data Engineer to help collect, cleanse, and explore data to find the patterns and signals across the ADP data sources. The goal of the team is to explore and to build intelligent systems assisting ADP's clients to optimize their workforce. ADP Analytics is utilizing cutting edge technologies to collect, cleanse, analyze and understand data that transcends the +500k clients who utilize our products. The desired candidate will have skills across numerous technologies such as Machine Learning and Data Mining, Statistics, Hadoop, NoSQL Database, and other advanced data modeling.    Position Summary:    We are looking for a candidate who can lead our team in the area of Data Science. The candidate will deliver solutions that will drive desired business outcomes using data science tools and methodologies. The candidate will also help transform our data engineering team into the go-to organization for data engineering, analytics and visualizations. The candidate will work with technologies and tools such SQL Server, SSAS/Cognos cube development. The ideal candidate will have a passion for data, be inquisitive and repeatedly ask why, like to tell stories, enjoy interacting with others, not be afraid to fail or ask for help and want to be part of a highly performing agile team.    Responsibilities:     Intimately work with and get to know data using various data discovery and profiling techniques and tools   Learn what our business partners do and apply analytics and visualizations to impact their goals and objectives in a positive way and drive desired behaviors   Deliver solutions that are appropriate for your audience from members of the Executive Committee to middle managers to operations teams   Lead design sessions with all levels of the organization to understand their wants and needs and to gather the appropriate information that will inform the solutions you provide   Be an active member of our Agile team, participating in all ceremonies and continuous improvement activities   Embrace learning, innovation and disruption in a continually changing world where new technologies and techniques are introduced on a continual basis   Mentor and coach the team through its data science learning curve     Qualifications:     4+ years of experience with advanced analytical techniques to forecast or predict future outcomes as well as reveal hidden patterns and meaning   4+ years of in-depth experience with data discovery, data profiling and data analysis   2+ years of experience writing complex SQL queries   Ability to work independently as well as on a team   Pays attention to detail, is value and results oriented and driven   Always gives 110% no matter what the task, takes pride in their work   Good communication skills, can convey a message, make a point and more importantly listen   Basic knowledge of how Finance, Sales and HR organizations work a plus   Experience with the following or something similar a plus; Python, R, TOAD, AWS, Tableau, Tableau Prep   4-year bachelor's degree in Engineering / Computer Science / Math or related field    #LITECH        We're designing a better way to work, so you can achieve what you're working for. Consistently named one of the 'Most Admired Companies' by FORTUNE® Magazine, and recognized by DiversityInc® as one of the 'Top 50 Companies for Diversity,' ADP works with more than 740,000 organizations across the globe to help their people work smarter, embrace new challenges, and unleash their talent. ""Always Designing for People"" means we're creating platforms that will transform how great work gets done, so together we can unlock a world of opportunity.   At ADP, we believe that diversity fuels innovation. ADP is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, or protected veteran status. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance.    ]"
Supply Chain Data Analyst,Northeast Georgia Health System,"Gainesville, GA","[     Improving the health of our community in all we do       Northeast Georgia Health System (NGHS) is a non-profit community health system on a mission of improving the health of our community in all we do. Our team cares for more than 1 million people across the region through four hospitals and a variety of outpatient locations. Northeast Georgia Medical Center (NGMC) has campuses in Gainesville, Braselton, Winder and Dahlonega – with a total of more than 700 beds and more than 1,100 medical staff members representing more than 50 specialties. NGHS also encompasses Northeast Georgia Physicians Group, a multi-specialty group with more than 65 locations, and The Heart Center of Northeast Georgia Medical Center, a cardiology practice with more than 15 locations.   NGHS   The Supply Chain Data Analyst supports projects and processes, analyzes data, prepares meaningful analytical reports, through the use of Lawson MMIS, Epic, BlueBin, Qlik and Microsoft Office products. Additionally, this position work closely with the MMIS, Sourcing, Value Analysis and Logistics teams to identify process improvement and cost savings opportunities through financial reporting, benchmarking, and other Supply Chain related reporting tools.      Bachelor’s Degree with a degree in Computer Science or Information Technology with 3 years related experience, or 5 years prior experience in Data Analytics in a healthcare environment.      3 years prior experience in Data Analytics; preferably in Healthcare environment   Since first opening its doors in Gainesville in 1951, Northeast Georgia Medical Center has added hospital campuses in Braselton, Barrow and Dahlonega – and become Georgia’s most awarded hospital. Some recognitions include being named to these lists:      America’s 50 Best Hospitals – Healthgrades   100 Top Hospitals – Truven Health Analytics   100 Hospitals with Great Heart Programs – Beckers Hospital Review   America’s Top Quality Providers – Carechex   Atlanta’s Top 150 Workplaces – Atlanta Journal-Constitution   Healthcare’s Most Wired Hospitals and Health Systems – Hospitals &amp; Health Networks magazine   NGMC has also been recognized in recent years as Georgia’s #1 Hospital for overall hospital care, overall surgical care, heart care, orthopedic surgery, women’s care and more.    ]"
Territorial Pathway of Hope Data Analyst,The Salvation Army,"Atlanta, GA 30329","[  The Salvation Army, an internationally recognized non-profit, faith-based organization, has an opening for a Territorial Pathway of Hope Data Analyst for the Southern Territory Headquarters, located in Atlanta, Georgia.     Note:  This is a 2 year grant funded position.    Job Summary  The Territorial Pathway of Hope Data Analyst has the overall responsibility for interpreting data, analyzing results and determining required data elements for reporting needs. Ultimately the goal is to turn data into useful information for end users and stakeholders.    Knowledge, Skills, and Abilities  Excellent organizational and planning skills. Basic understanding of database structures. Social Service or applicable business model experience (HUD, AIRS, AAA, Etc.). Knowledge and support of The Salvation Army mission and philosophy with specific support of both spiritual and social program activities. Knowledge of client management records and administration and HIPAA requirements. Ability to work effectively with staff and Officers at all levels (Territorial, Division, field staff) in a cooperative fashion, recognizing the authority of each Divisional Commander’s role as employer of the local POH staff. Ability to use all Microsoft Office programs especially MS Excel or their equivalent, CMS database, internet, and other software that enhances POH, social services and poverty alleviation. Ability to summarize and clarify the results from combining multiple reports as well as translate data from reports into graphics/charts. Ability to meet attendance requirements. Ability to work independently and meet deadlines.    Education and Experience  Bachelor’s degree in Social Work, Human Services, Information Systems or comparable graduate degree from an accredited college or university AND Two years of relevant experience, including at least two years conducting data management or data analysis using a variety of software required (e.g. QLIKSense, Tableau, SQL, ServicePoint, or Access). Strong analytic background; at least 2 years conducting and interpreting quantitative analyses. Experience with non-profit/social service organizations OR Any equivalent combination of training and experience which provides the required knowledge, skills and abilities. Licenses and Certifications: Valid State Driver’s License    Physical Requirements/Working Conditions  Ability to travel throughout the Southern Territory periodically to work with divisional, regional and local social services staff. Work is performed in a normal office environment where there are little or no physical discomforts associated with changes in weather or discomforts associated with noise, dust, dirt, and the like.     Additional Comments:   All employees recognize The Salvation Army is a church and agree that they will do nothing as an employee of The Salvation Army to undermine its religious mission.    To apply, please select the ""Apply Now"" icon at the bottom of this positing.     Application Submittal Period:  12/03/2019 – 12/15/2019    All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.    Equal Opportunity Employer Minorities/Women/Veterans/Disabled  ]"
Data Scientist,CapTech Consulting,"Atlanta, GA","[   Job Description    CapTech Data Scientists are responsible for designing and implementing data-driven solutions for our clients, with specific focus on advanced analytical methods, data models and visualizations. CapTech employees enjoy a collaborative environment and have many opportunities to learn from and share knowledge with other CapTech analysts, architects, and our clients.     Specific responsibilities for the Data Science position include:      Strategizing with clients on and implementing new analytical approaches (e.g., designing new segments to analyze customer behavior).   Developing data models and transformations, visualizations and reports using a variety of enterprise-level data platforms, e.g., Hadoop, Teradata, Amazon Web Services.   Designing and developing advanced analytical methods on client data (e.g., link analysis, natural language processing, decision trees and risk scoring).   Deconstructing client needs into data-driven processes/models and analytical measures.   Growing CapTech’s data science practice through client presentations, writing proposals, attending various business development events and leading teams of junior data analysts.       Qualifications      Specific qualifications for the Data Scientist position include:      Bachelor's degree or equivalent combination of education and experience   5+ years of hands-on experience manipulating and analyzing large (multi-billion record) data sets.   3+ years of demonstrable Python programming experience   5+ years of experience with enterprise reporting platforms (e.g., Tableau, Microstrategy, Business Objects, etc.) and developing advanced data visualizations.   5+ years of experience developing analytical metrics and measures for business/C-suite level reporting.   Expert proficiency with data warehousing tools/environments: Base SAS, Teradata, Oracle, Hadoop, SQL Server.   Comfort and proficiency in generating cross-industry business requirements and translating them down to data-driven approaches.   Experience in three (or more) of the following analytical practices: consumer analysis, marketing analysis, financial analysis, website analysis, healthcare analysis and/or social media analysis.   Expert proficiency in SQL, MapReduce/Hive, NoSQL and/or other data transformation techniques.   Moderate to expert proficiency in modern data manipulation techniques: Machine learning, natural language processing/text mining, predictive intelligence/statistics and simulation.   Strong communication, PowerPoint and writing skills.    Additional Information    We offer challenging and impactful jobs with professional career paths. All CapTechers can keep their hands-on technology no matter what position they hold. Our employees find their work exciting and rewarding in a culture filled with opportunities to have fun along the way.   At CapTech we offer a competitive and comprehensive benefits package including, but not limited to:    Competitive salary with performance-based bonus opportunities   Single and Family Health Insurance plans, including Dental coverage   Short-Term and Long-Term disability   Matching 401(k)   Competitive Paid Time Off   Training and Certification opportunities eligible for expense reimbursement   Team building and social activities   Mentor program to help you develop your career     CapTech is an equal opportunity employer committed to fostering a culture of equality, inclusion and fairness — each foundational to our core values. We strive to create a diverse environment where each employee is encouraged to bring their unique ideas, backgrounds and experiences to the workplace.    Candidates must be eligible to work in the U.S. for any employer directly (we are not open to contract or “corp to corp” agreements). At this time, CapTech cannot transfer nor sponsor a work visa for this position. Applicants must be authorized to work directly for any employer in the United States without visa sponsorship.    CapTech is a Drug-Free work place.  Candidates must have the ability to work at CapTech’s client locations.  All positions include the possibility of travel.  CapTech has not contracted/does not contract with any outside vendors in its recruitment process. If you are interested in this position, please apply to CapTech directly.    ]"
Data Scientist,HD Supply,"Atlanta, GA","[     Company Overview    HD Supply (NASDAQ:HDS) ( www.hdsupply.com ) is one of the largest industrial distributors in North America. The company provides a broad range of products and value-add services to approximately 500,000 customers with leadership positions in maintenance, repair and operations and specialty construction sectors. Through approximately 260 locations across 36 states and six Canadian provinces, the company's approximately 11,000 associates provide localized, customer-driven services including jobsite delivery, will call or direct-ship options, diversified logistics and innovative solutions that contribute to its customers' success. With an active commitment to the communities in which we operate, HD Supply associates are part of a thriving organization that supports the virtues of wellness, diversity and inclusion – all of which are top priorities for the company. Equally as important is empowering our associates to grow professionally while providing competitive benefits and compensation. If you’re ready to find a rewarding career and achieve your full potential with a growing industry leader, HD Supply is ready for you!    Job Description &amp; Qualifications     Job Su   mmary    Responsible for modeling complex enterprise problems, discovering enterprise insights, and identifying opportunities through the use of statistical and machine learning algorithms, data mining, and visualization techniques. Integrates and prepares varied datasets, architects custom data environments, and communicates validation of results.    Major Tasks, Responsibilities and Key Accountabilities     Leads discovery processes with key stakeholders to identify business requirements and expected outcomes.   Makes strategic recommendations on data collection, integration and retention, business requirements, and knowledge of best practices.   Develops innovative and effective approaches to solve analytics problems and communicates results and methodologies.   Collaborates with subject matter experts regarding relevant sources of information and makes recommendations on data collection, integration, and retention requirements.   Recommends new and improved methods to improve data and search quality and predictive and prescriptive capabilities.   Integrates and prepares large, varied datasets. Architects specialized database and computing environments and communicates results.   Creates statistical and machine learning models to solve complex business problems across Sales, Marketing, and Supply Chain.   Partners with Data Engineers and Information Technology to operationalize machine learning algorithms in a production environment.     Nature and Scope     Identifies key barriers/core problems and applies problem solving skills in order to deal creatively with complex situations. Troubleshoots and resolves complex problems. Makes decisions under conditions of uncertainty, sometimes with incomplete information, that produce effective end results.   Independently performs assignments with instruction limited to the expected results. Determines and develops an approach to solutions. Receives technical guidance only on unusual or complex problems or issues.   May oversee the completion of projects and assignments, including planning, assigning, monitoring and reviewing progress and accuracy of work, evaluating results, etc. Contributes to employees' professional development but does not have hiring or firing authority.     Work Environment     Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.   Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.   Typically requires overnight travel less than 10% of the time.     Education and Experience     Typically requires BS/BA in a related discipline. Generally 5-8 years of experience in a related field OR MS/MA and generally 3-5 years of experience in a related field. Certification is required in some areas.     Preferred Qualifications &amp; Job Specific Details     Preferred Qualifications     2-3 years of experience in the field of retail marketing or operational related applied Data Science   3+ years of relevant quantitative and analytics experience or equivalent educational experience   Masters’s degree in mathematics, statistics or computer science or related field preferred   Strong understanding and application of statistical methods and skills: distributions, experimental design, variance analysis, A/B testing, and GLM/ Regression.   Expertise in machine learning algorithms and experience using the following ML techniques: Logistic Regression, Decision Trees, Random Forests, Gradient Boosting, SVMs, Time Series, KMeans, Clustering, Recommendation Systems   Strong coding and debugging skills in one or more of the following technologies: Python, R, Scikit-learn, H2O, Azure   Advanced knowledge of SQL and proven experience with large data sets such as Hadoop, hive, spark   Strong skills in developing recommendation engines / collaborative filtering or developing models for supply chain optimization a plus   Experience visualizing/presenting data for stakeholders using any of the following: Tableau, PowerBI, ggplot, etc.   Must have a proven track record of partnering with business in delivering quality business solutions   Strong collaboration skills with both technical and non-technical groups     PRID    PRID142    Job Locations   US-GA-Atlanta     Posted Date   2 days ago   (12/3/2019 11:20 AM)      Job ID    2019-35783      Business Unit    Facilities Maintenance      Functional Area    Marketing      Remote Position?    No      Position Type    Full-Time      Posting Location : Postal Code    30339    HD Supply is an Equal Opportunity Minority/Female/Individuals with Disabilities/Protected Veteran and Affirmative Action Employer. HD Supply considers for employment and hires qualified candidates without regard to age, race, religion, color, sex, sexual orientation, gender, gender identity, national origin, ancestry, citizenship, protected veteran or disability status or any factor prohibited by law.      ]"
System Benefits Healthcare and Wellness Data Analyst,University System of Georgia,"Atlanta, GA","[     Required Qualifications:      EDUCATION AND EXPERIENCE REQUIRED:     BA/BS degree required with at least 2 years of technical and data analysis experience and 2 years of with healthcare administration and/or wellness program data experience. Or an equivalent combination of education, experience, and training in analytics, business, statistics, or healthcare administration   Strong quantitative and analytic skills      KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:     Knowledgeable in the fundamentals of medical terminology, clinical coding guidelines and regulations   Ability to build and query off of relational databases using at least one of the following tools (such as MS Access, SQL, SAS, R)   Ability to write and interpret reports using various relational databases including Truven Advantage Suites and MedeAnalytics   Ability to think creatively and work collaboratively to address problems   Ability to present solutions to multidisciplinary teams   Strong written and verbal communication skills, with the ability to communicate complex technical issues to a nontechnical audience.   Strong technical skills including: Word, Excel, PowerPoint, Access               Desired Qualifications:      PREFERRED QUALIFICATIONS:     MS, MA or MPH degree preferred   Biostatistical experience and working understanding of claims data   2-3 years’ technical/data experience with emphasis on claims data for health and wellness programs   Experience using PeopleSoft ,SaS coding, Tableau, and IMB Watson          ]"
Data Scientist,Siemens,"Alpharetta, GA 30005","[     Siemens Global Business Services (GBS) is looking to strengthen our team with an experienced Data Analyst (early or mid career) to support our Opportunity to Cash (O2C) organization. This group provides cash collection, AR, credit &amp; customer master services across multiple operating companies in the US &amp; Canada. Using the latest analytic tools and processes from internal and external platform services, we aim to maximize our offerings and deliver unparalleled service and support. The ideal candidate should be highly skilled in all aspects of data analytics, including mining, generation, and visualization, and have a self-initiated curiosity with an eye for what drives business performance. If you are committed to transforming data into readable, goal-driven analytics solutions for continued innovation and growth, we want to hear from you.        Responsibilities:     Guide and manage transition from traditional reporting and isolated dashboards to state-of-the dashboarding and industry leading analytics solutions.   Develop concepts and designs for analytics to identify and model trends in the customer base and associated data for collections, cash, credit, tax certificates, and other associated data sets   Increase the efficiency of analyzing and monitoring key performance indicators. Expand KPIs into customer centric end-to-end metrics.   Create dashboards together with customers and present insights to customer management.   Develop and implement analytics solutions and optimization strategies that increase statistical efficiency and quality   Create insights into best-practices across customers based on data mining, analysis, and visualization   Apply predictive modeling techniques to data to answer key questions from stakeholders   Investigate alternative tool/ analytics solutions and communicate recommendations to management   Use data to provide narratives about trends and areas to improve upon   Apply analytics and modeling to own and actively drive process improvement projects/initiatives within the related function   Collaborate closely with businesses and technical teams to gather research and convey requirements for new analytics/data science needs and/or tool enhancements   Drive standardization of processes across all supported businesses   Develop routines that can be automated and easily scaled for reuse in other areas   Serve as liaison for analytics platform and solution providers and support ongoing transition/reorganization activities         Required knowledge/skills, education, and experience:     Data Scientist candidates must have a minimum of 5 years data analytics experience and Data Scientist (early career) must have a minimum of 7 years data analytics experience.   Bachelor’s degree is preferred in Mathematics, Computer Science, Economics, or Statistics or related discipline, although candidates with a combination of education (an Associate's Degree is a minimum requirement) and related experience will also be considered.   Proven analytic skills, including mining, evaluation, analysis, and visualization   Strong skills in industry standard tools/platforms for data analytics and visualization such as R, SQL, Tableau, Qlik, Celonis, or comparable,   Strong communications skills to enable interaction with all levels and departments within the organization   Strong attention to detail   Solid experience with SAP required          Qualified Applicants must be legally authorized for employment in the United States. Qualified Applicants will not require employer sponsored work authorization now or in the future for employment in the United States.        #LI-JT1      Job ID:  190560    Organization:  Global Business Services    Company:  Siemens Corporation    Experience Level:  Mid-level Professional    Job Type:  Full-time      Equal Employment Opportunity Statement   Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.     EEO is the Law   Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.     Pay Transparency Non-Discrimination Provision   Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here.    ]"
"Lead, People Analytics-Data Science",Deloitte,"Atlanta, GA 30303","[     Lead, People Analytics/Data Science       Works closely with other People Analytics team members to support defined projects that enhance the firm’s performance, productivity, and profitability through its people by conceptualizing analytical projects, mining, collecting and analyzing data, and providing actionable recommendations to guide the firm’s talent strategy across a wide variety of Talent topics including acquisition &amp; mobility, leader/manager development, engagement, inclusiveness, individual/team performance, development, and exit. Partners with functional, geographic, and/or service lines to support the business and firm strategy.       Work you’ll do       Assists in the conceptualization of analytical projects to ensure research is rigorous and results provide actionable and comprehensive insights.     Develop statistical and ML models across a broad spectrum of topics, including both causal inference and predictive models.     Keeps up-to-date and introduces latest trends from technology and data science research (e.g., natural language processing, deep learning, reinforcement learning, etc.)     Design rigorous model validation studies and best practices     Locates and extract data from new data sources, finds new uses for existing data sources, structures and drives new data collection efforts, and provides recommendations on scaling new methods more broadly.     Integrates multiple systems and data sets to build large and complex data sets and make them usable (e.g., transforming and cleaning data, working incomplete data sources, implementing and validating quality procedures).     Conducts scalable data research and off and ultimately on the cloud.     Implements automated processes for efficiently producing scale models.     Liaises and collaborates with other COEs, Business Advisor organizations and Core Talent Services on the whole analytics lifecycle (conceptualization, data collection, analysis, and recommendations) or when subject matter expertise is required     Develops compelling, logically structured presentations (including story-telling of research/analytics findings) that will be shared at the Talent and business leadership level     Develops and maintains accurate and up-to-date project plans and status reports for all incoming and active projects.       The team    The People Analytics COE is responsible for:      Development and execution of the talent analytics and data strategy and roadmap     Development of strong partnerships within the business and Talent (Center Of Excellence, Core Talent Services, Business Advisors), to provide leadership, best practices and insight for how analytics can drive more meaningful decisions     Governance, execution, and coordination of data-driven strategic projects and analyses for Talent       ]"
Data Analyst II - Inventory & Material Management,Cox Communications,"Atlanta, GA 30328","[     Cox Communications is the largest private telecom company in America, and we proudly serve six million homes and businesses across 18 states. At Cox, we are committed to creating meaningful moments of human connection, not only with our products and services, but also with our career opportunities. Come connect with us, and lets build a better future together.         Role Summary       The Data Analyst II for Inventory &amp; Material Management is a specialist on issues related to reporting, analysis, and metrics with strong understanding. Typically assigned to larger, moderately complex projects requiring independent decision-making. Output is periodically reviewed by others. Partners with cross-functional teams and stakeholders on ideas and solutions that impact operational results.       Primary Responsibilities and Essential Functions     Provides and conducts analytic efforts to support business operations, which may include budget modeling.   Writes reports, creates charts, presentations and timelines in support of department or business operations.   Identifies, researches, and resolves discrepancies in analytical procedure or cross-functional methods.   Interprets operational requirements for inclusion in studies and analyses.   Provides recommendations for operational efficiencies and process improvements and assists in policy development to support change initiatives.   Works with outside expertise engaged to assist or deliver analytic projects.   May write code to automate reports and templates and consolidate data into reports and knowledge.   Uses and may program statistical analysis software.   Supports capability development within the delivery organization, including reviews and gap assessments, and works to source and deliver strategies.     Qualifications:     Minimum     2 or more years of experience in related field (i.e., data analysis, metrics, etc.)   Demonstrated problem solving and analytical thinking skills   Excellent interpersonal, leadership, presentation, and collaborative skills to work effectively with teams throughout organization       Preferred     BS/BA degree in related discipline; Master's degree in a related discipline strongly preferred   Exposure to or experience with a supply chain logistics or operations, warehouse operations, or a related field       About Cox Communications    Cox Communications is committed to creating meaningful moments of human connection through broadband applications and services. The largest private telecom company in America, we proudly serve six million homes and businesses across 18 states. We're dedicated to empowering others to build a better future and celebrate diverse products, people, suppliers, communities and the characteristics that makes each one unique. Cox Communications is the largest division of Cox Enterprises, a family-owned business founded in 1898 by Governor James M. Cox.   Cox is an Equal Employment Opportunity employer - All qualified applicants/employees will receive consideration for employment without regard to that individual's age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law.   Statement to ALL Third-Party Agencies and Similar Organizations: Cox accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Cox employees, Cox hiring manager, or send to any Cox facility. Cox is not responsible for any fees or charges associated with unsolicited resumes.    ]"
