title,company,location,description
Data Scientist,Internal Data Resources,"Atlanta, GA 30328","[    Data Scientist    IDR’s client is seeking an Entry Level and Sr. Data Scientist to join their team! This person will be responsible for facilitating the end-to-end development, testing, and monitoring of analytical models for multiple brands.   Responsibilities of the Data Scientist:     Building scalable models according to project and stakeholder needs  Responsible for working with data in various forms (data lake, SQL, raw) to input into models  Working with various APIs and external data sources to automate data ingestion  Partnering with other data scientists to peer-review production code  Working with our Cloud data team to ensure data supports ongoing analysis    Requirements of the Data Scientist:     1-3 years of experience with data mining and analytics, database structure and ETL, predictive modeling, machine learning, and statistical programming languages  Bachelor’s Degree in Computer Science, Statistics, Engineering, Science, or Mathematics  Expertise in statistical programming (e.g. R, Python, and/or Spark)  Experience with relational databases (e.g. SQL)    What’s in it for you?    Work for an industry leading company  Use cutting edge technologies  Casual dress code  Flexible work schedule   Job Type: Full-time   ]"
Data Analyst,Dematic,"Atlanta, GA 30339","[     Company Overview    Dematic is a leading supplier of integrated automated technology, software and services to optimize the supply chain. Dematic employs over 7,000 skilled logistics professionals to serve its customers globally, with engineering centers and manufacturing facilities located around the world. Dematic is one brand under the KION Group of companies and has implemented more than 6,000 integrated systems for a customer base that includes small, medium and large companies doing business in a variety of market sectors.     Headquartered in Atlanta, Georgia, Dematic is a member of KION Group, a global leader in industrial trucks, related services and supply chain solutions. Across more than 100 countries worldwide, the KION Group designs, builds and supports logistics solutions that optimize material and information flow within factories, warehouses and distribution centers. The company is the largest manufacturer of industrial trucks in Europe, the second-largest producer of forklifts globally and a leading provider of warehouse automation.     The Role    Dematic is developing and enhancing its global data analyst skillset, to support the company with advanced data analysis, analytics, trending, identification of leading indicators, and other beneficial uses of data for improved decision making and tracking of important KPI’s and metrics.     Dematic has an immediate need for a data analyst. As a Data Analyst at Dematic, you will work with a global team and across functions. Some key responsibilities:   Interpret data, analyze results using statistical techniques and provide ongoing reports and analysis     Work independently and within a team to develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality   Acquire data from primary or secondary data sources   Identify, analyze, and interpret trends or patterns in complex data sets   Identify data cleansing opportunities within our source systems, and suggest ways to improve data accuracy and/or collection of new data points   Work with management to prioritize business and information needs   Locate and define new process improvement opportunities     What We Are Looking For      Knowledge / Qualifications     Minimum five years of experience in a global organization, in related field   Strong knowledge of BI tools and platforms – Qlikview or Power BI most useful   Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy   Proven ability presenting data findings in simple and easy to understand ways   Technical expertise regarding data models, database design, data mining and segmentation techniques   Familiarity with ERP systems &amp; underlying data sources, SAP most useful   Ability work with different cultures   Demonstrates outstanding team interaction and communication skills.   Proven history of successful problem-solving   Excellent MS office skills   Available for occasional travel     Education    BS in Mathematics, Economics, Computer Science, Information Management or Statistics   ]"
Data Scientist,Dematic,"Atlanta, GA 30339","[     Company Overview    Dematic is a leading supplier of integrated automated technology, software and services to optimize the supply chain. Dematic employs over 7,000 skilled logistics professionals to serve its customers globally, with engineering centers and manufacturing facilities located around the world. Dematic is one brand under the KION Group of companies and has implemented more than 6,000 integrated systems for a customer base that includes small, medium and large companies doing business in a variety of market sectors.     Headquartered in Atlanta, Georgia, Dematic is a member of KION Group, a global leader in industrial trucks, related services and supply chain solutions. Across more than 100 countries worldwide, the KION Group designs, builds and supports logistics solutions that optimize material and information flow within factories, warehouses and distribution centers. The company is the largest manufacturer of industrial trucks in Europe, the second-largest producer of forklifts globally and a leading provider of warehouse automation.     The Role      Position Summary:      This is an exciting opportunity to join the Software Center of Excellence of Dematic. As part of this global team of software experts, you will help develop robust organizational capabilities in sales, design, engineering and support to deliver exceptional software to our customers.     As a specialist, you will own end-to-end implementation of analytics &amp; IoT engagements with Dematic customers, while driving the services pipeline as well as be a key voice internally for the further development of the analytics services program. This is both a cross-functional role within the organization as well as a key customer interfacing role. A successful candidate will have demonstrated exceptional performance, innovation, creativity and insight in a similar role.      Key Responsibilities (Problem Solving, Critical Thinking):    Works with customer end-users to define analytics &amp; IoT solution requirements and works with internal team to concept, design and deliver solution   Works independently, within teams, and with multiple types of skillsets (business, data architect, other technical resources)   Performs business process analysis, mapping and design   Ensures high quality delivery of software consulting services and overall client satisfaction   Drives development and documentation of services   Displays depth of knowledge to customers during sales-phase while representing breadth and depth of Dematic solutions and expertise   Supports the sales organization and drive pipeline generation of analytics consulting services     What We Are Looking For      Education:      Bachelor's Degree and/or advanced degree      Knowledge / Qualifications:      The qualifications for the position of advanced analytics &amp; IoT include proven success in Client Management, Project Management, and Consultative Selling and Services Delivery. Other important areas of experience and skills include:   Experience working with business users to concept, generate and deliver analytics solutions, dashboards and reporting   Overall knowledge of MHE technologies and warehouse systems or similar domains is preferred   Specific domain experience and knowledge in the logistics and supply chain industries is a plus   Excellent written and verbal communication skills including presentation skills and knowledge of software tools (MS PowerPoint, MS Visio)   Strong leadership and customer engagement skills   A willingness to travel in order to satisfy client needs   Experience conducting requirements analysis, meeting with business stakeholders and applying solutions to customer challenges   Working knowledge of advanced analytic tools such as SAS, R, or Python is required   Working knowledge of data visualization tools such as Tableau, QlikView, or Domo is required   Working knowledge of BI (business intelligence) or analytics tools preferred   Working knowledge of Microsoft SQL Server and/or Oracle databases is preferred   Working knowledge of cloud based technologies is preferred   At least 3 years of experience in a related role     ]"
Data Scientist,State Farm,"Dunwoody, GA 30346","[     One Company…Many Careers!     Requisition ID:   req11080    Job Title:   Data Scientist    Number of Openings:   3    Job Category:   Professional/Technical    Employment Type:   Regular Full-Time    Why Join Our Team?    For over 95 years, data has been key to State Farm. As a member of our data science team, you will work across the organization to solve business problems and help achieve business strategies. You will employ sophisticated, statistical approaches and state of the art technology. You will build and refine our tools/techniques and engage with internal stakeholders across the organization to improve our products &amp; services.    A Day in the Life of a Data Scientist:    Implementing solutions is critical for success. You will do problem identification, solution proposal &amp; presentation to a wide variety of management &amp; technical audiences. This challenging career requires you to work on multiple concurrent projects in a community setting, developing yourself and others, and advancing data science both at State Farm and externally.    Data Scientist Skills &amp; Professional Experience Preferred:     Completed Masters, other advanced degrees, and three (3) to five (5) years' experience in an analytical field such as data science, quantitative marketing, statistics, operations research, management science, industrial engineering, economics, etc.   Knowledge in machine learning methods including at least one of the following:   Time series analysis;   Cluster analysis   Tree based algorithms   Generalized linear models, or neural networks     Excellent communication skills and the ability to manage multiple, diverse stakeholders across businesses and leadership levels   Exercise sound judgment to diagnose and resolve problems within an area of expertise   Experience with SQL and Python, R, or SAS   Experience with unstructured data sets: text analytics, image recognition, audio analysis, etc.   Familiarity with MapReduce or SPARK   Familiarity with experimental design for business experiments   Familiarity with version control systems, such as Git     Locations:     Atlanta, Georgia:    State Farm's Hub is located in Park Center with direct access to the Dunwoody MARTA station. The Hub is a pedestrian-friendly environment with lots of retail &amp; dining options, day care, and recreation providing valuable resources for qualified employees.    Dallas, Texas:    Everything is big in Texas, including opportunities at State Farm! Our CityLine Hub location offers easy access to DART, lots of parking and a wide variety of healthy dining options.    Phoenix, Arizona:    Phoenix is hot! Looking for a cool job? Our Marina Heights Hub is conveniently located on Tempe Town Lake in close proximity to downtown Tempe. It can be accessed by car, bus, light rail, bike share and soon the Tempe street car!    Bloomington, Illinois:    Home to State Farm's Corporate Headquarters - Bloomington offers a fun, family-friendly, mid-sized community and boasts an average 15 minute rush hour commute. The community is very active and is home to two universities: Illinois State University and Illinois Wesleyan.    Champaign, Illinois:    Home to State Farm's Research &amp; Development Center which is located on the campus of the University of Illinois. This micro-urban community is wonderfully diverse and offers recreational parks, fine dining, festivals and other events hosted by the State Farm Center. Champaign offers low commute times and is within a reasonable commute to our Corporate Headquarters.    What's In It For You:     Comprehensive benefits package, competitive pay and bonus potential   401k and fully funded pension plan - yes, Both!   Tuition Reimbursement program - we support opportunities for you to learn and grow   A Learning Culture: mentoring, conferences, development day i.e. online courses, research papers and more.   Volunteer opportunities: get involved and join the Neighborhood of Good!   Diversity and Inclusion: We are one team and it is simply the right thing to do.   Dress for your day philosophy   Learn more about our benefits at State Farm Careers!     ***State Farm   does not   currently have a business need to consider candidates who require Visa Sponsorship***     We are not just offering a job but a meaningful career! We’re here to help life go right®     Join our passionate team!      SFARM   JT18   #LI-MV1   PM18    ]"
"Data Scientist, Mid",Booz Allen Hamilton,"Atlanta, GA 30303","[     The Challenge:    Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data.     We have an opportunity for you to use your analytical skills to improve public health. You’ll work closely with your customer to understand their questions and needs and then dig into their data-rich environment to find the pieces of their information puzzle. You’ll develop statistical algorithms, analytical application, and data management and visualization capabilities through the use of the right combination of tools, techniques, and frameworks to turn that set of disparate data points into objective answers to help leading public health agencies make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in public health.     Empower change with us.      You Have:    4+ years of experience with data science techniques, tools, and processes  Experience with UNIX and Linux systems, including HPC environments  Experience with machine learning and statistical techniques, including hypothesis testing  Experience with data visualization software, including RShiny and Tableau  Experience with large-scale disparate data management approaches and technologies, including MS SQL Server, PostgreSQL, or MongoDB  Experience with versioning systems, including Git and TFS  Experience with designing and implementing reproducible data processing and analysis using Jupiter Notebooks, R Markdown Notebooks, or Visual Studio  Knowledge of programming techniques in Python, JavaScript, R, SAS, C#, or VB.Net  Ability to obtain a security clearance  BA or BS degree       Nice If You Have:    Public Trust clearance  MS or PhD degree in Bioinformatics, Biostatistics, Mathematics, Biological Sciences, or CS       Clearance:    Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.      Build Your Career:      At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect:    access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk   a chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition   participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government     You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, onsite boot camps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want, as you chart your own course for success.     We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.      ]"
DATA MANAGEMENT CONSULTANT 3 - BUSINESS DATA ANALYST (WHOLESALE/CAPITAL FINANCE),Wells Fargo,"Atlanta, GA","[    Job Description     Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as “Personal Cell” or “Cellular” in the contact information of your application.   At Wells Fargo, we want to satisfy our customers’ financial needs and help them succeed financially. We’re looking for talented people who will put our customers at the center of everything we do. Join our diverse and inclusive team where you’ll feel valued and inspired to contribute your unique skills and experience.   Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.   Enterprise Finance drives financial management for the company and maintains and enhances risk and financial controls. Key functions within Enterprise Finance include finance and accounting; Treasury; corporate development, mergers, and acquisitions; Data Management and Insights, the Customer Remediation Center of Excellence, Enterprise Shared Services, Business Process Management, and Corporate Strategy. Enterprise Finance informs shareholders, regulators, taxing authorities, team members, and leaders of the company’s financial performance through earnings releases, investor meetings and conferences, and meetings with regulators and credit rating agencies, following appropriate reporting guidelines. They also maintain and enhance risk and financial controls and lead many of the company’s shared services functions including corporate properties, security, and global services.   The Wholesale Data Office team delivers trusted, reliable data which drives strategic decisions, enables business growth, and facilitates a strong risk discipline. We enable usage of common data that is complete, trusted, understood, and aligned with our financial reporting.   This position will be supporting our iHub service with the Business Data services team. ihub is an authorized provision point which standardizes common foundational data and distributes to downstream applications and reporting services.   The position will support a number iHub workstreams tied to risk, regulatory and internal business line initiatives primarily focusing on loan and leasing data supporting our eOne initiatives. The eONE initiative seeks to build a 'one number' instrument data foundation that is complete, reliable, and aligned to the general ledger. The initiative will also establish the authoritative data source for common data elements between Corporate Finance and Corporate Risk management to support in scope risk and regulatory reporting. eONE will create a federated, coordinated set of applications and databases to support risk and finance, which will allow for agile and accurate risk and regulatory reporting and analytics that complies with BCBS 239, G&amp;O and the Wells Fargo Enterprise Data Governance Policies and Standards       Required Qualifications        7+ years of experience in one or a combination of the following: data management, data governance, data quality or data analysis   1+ year of financial industry experience   3+ years of experience with SAS or SQL, or other data management, reporting and query tools   4+ years of experience in one or a combination of the following: data management, metrics &amp; business intelligence, data warehouse        Desired Qualifications        Ability to articulate complex concepts in a clear manner   Management experience in an matrixed organization environment   Ability to work and influence successfully within a matrix environment and build effective business partnerships with all levels of team members   Knowledge and understanding of data governance challenges and approaches: metadata, data quality, and data stewardship   Strong analytical skills with high attention to detail and accuracy        Other Desired Qualifications      3+ years of Leasing, Asset Backed Lending (ABL), loan/ invoice financing / factoring experience Proven experience working with data problems to solve and come up with innovative ideas and make things happen without management direction.   Knowledge and understanding of wholesale banking: products, platforms, policies, processes, and procedures   Experience with database platforms such as Oracle, Hadoop, or Teradata.   Techno-functional skills with exposure to various banking products   Logical thinker and problem solver. Takes analytical, creative approach to problem solving.   Positive, people oriented, and energetic attitude.   Strong communication skills to effectively work with Finance, Risk, Regulatory, and remote team members   Ability to manipulate data from non-normalized or disparate data sources   Clear understanding of data warehousing principles, dimensional data and data modeling    Preferably experience with Oracle Financial Services Data Foundation(FSDF) implementation       Street Address      MN-Minneapolis:  600 S 4th St - Minneapolis, MN   NC-Charlotte:  11625 N Community House Road - Charlotte, NC   NC-Charlotte:  401 S Tryon St - Charlotte, NC   SC-Fort Mill:  3480 State View Blvd - Fort Mill, SC   TX-DAL-Downtown Dallas:  1445 Ross Ave - Dallas, TX   TX-Irving:  5000 Riverside Drive - Irving, TX   AZ-Tempe:  1150 W Washington St - Tempe, AZ   IA-Des Moines:  6200 Park Ave - Des Moines, IA   IA-Des Moines:  800 Walnut St - Des Moines, IA   GA-Atlanta:  3579 Atlanta Ave - Atlanta, GA     Disclaimer     All offers for employment with Wells Fargo are contingent upon the candidate having successfully completed a criminal background check. Wells Fargo will consider qualified candidates with criminal histories in a manner consistent with the requirements of applicable local, state and Federal law, including Section 19 of the Federal Deposit Insurance Act.    Relevant military experience is considered for veterans and transitioning service men and women.    Wells Fargo is an Affirmative Action and Equal Opportunity Employer, Minority/Female/Disabled/Veteran/Gender Identity/Sexual Orientation.     ENT FINANCE  ]"
Statistical Data Analyst,RELX Group,"Alpharetta, GA","[    A t LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk management. With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for security and privacy. Headquartered in metro Atlanta, LexisNexis Risk Solutions serves customers in more than 100 countries and is part of RELX Group plc, a world-leading provider of information and analytics for professional and business customers across industries. For more information, please visit www.lexisnexisrisk.com.    Statistical Data Analyst   This position conducts moderately difficult attribute development assignments by working closely with Modeling, Technology, and Internal Customers. The incumbent should have the ability to quickly develop autonomy on projects with minimal supervision. Specifically, this position codes, deploys, troubleshoots, and validates the attributes, as well as maintains and monitors attributes once programmed. The role will also investigate, resolve, and document any data or code issues found.    Responsibilities   Lead creation and maintenance of attributes using KEL from various data sources by working with Modeling and Technology. Test attributes independently for quality, completeness and consistency through constant monitoring and auditing for project of moderate complexity, using required techniques and tools such as R, SAS and ECL as needed. Successfully convert analytic programing code (Including but not limited to: SAS/WPS, R, Python) to language similar in structure to C++. Complete bug fixes. Maintain up to date and accurate documentation of all attributes and attribute setsRecommend enhancements to Attribute development application and ensure its proper operation. Maintain user guides and training materials for the applicationPartner with Modeling to build new attributes and attribute sets to meet new and changing business needs. Work with other programmers to ensure new attributes are implemented accurately in production environment.Keep Manager informed of latest progress through effective communication of status and next steps. Qualifications   Masters Degree in Data Analytics, Statistics, Computer Science, Math or equivalent experience3+ years experience in programming, data analysis or related field Working knowledge of relational databases a plus Strong KEL, ECL, SAS/WPS, R, Python or C++ skills a plus Experience working with data analytics-driven solutions with sensitive data sources Demonstrated experience with data manipulation and analysis High degree of creative, analytical and problem solving skills Ability and desire to learn new processes and technologies Ability to complete moderately complex bug fixes Good oral and written communications skills At LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk management. With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for security and privacy. Headquartered in metro Atlanta, LexisNexis Risk Solutions serves customers in more than 100 countries and is part of RELX Group plc, a world-leading provider of information and analytics for professional and business customers across industries. For more information, please visit www.lexisnexisrisk.com. LexisNexis Risk Solutions is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.       LexisNexis Risk Solutions is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.    ]"
Data Analyst IV,Peach State Health Plan,"Smyrna, GA 30082","[     Responsible for analytic data needs of the business unit. Handle complex data projects and acts as a lead for other Data Analysts.    Provide advanced analytical support for business operations in all or some of the following areas: claims, provider data, member data, clinical data, HEDIS, pharmacy, external reporting     Extract, load, model, and reconcile large amounts of data across multiple system platforms and sources     Review data to determine operational impacts and needed actions; elevate issues, trends, areas for improvement and opportunities to management.     Develop reports and deliverables and make recommendations to management     Model data using MS Excel, Access, SQL, and/or other data ware house analytical tools     Assist management in driving business decisions based on data     Ensure compliance with federal and state deliverable reporting requirements by performing data quality audits and analysis.     Assist with training and mentoring other Data Analysts.     Assist with determining work load and related activities for other Data Analysts     Qualifications:     Education/Experience: Bachelor’s degree in related field or equivalent experience. 6+ years of statistical analysis or data analysis experience. Healthcare experience preferred. Advanced knowledge of Enterprise Reporting and Analysis tools, SQL, and Microsoft Office applications, including Excel and Access. Experience managing projects or heavy involvement in project implementation.     Preferred Experience:  Heavy background in analysis and SQL query writing   Background in Finance   Healthcare Industry experience   Data visualization   Presentation visualization   Project Management or Lean Six Sigma   Agile Experience   Self-Starter   Detail Oriented   Strong sense of accountability       Centene is an equal opportunity employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or other characteristic protected by applicable law.         ]"
Data Analyst I,RELX Group,"Duluth, GA","[    A t LexisNexis Risk Solutions, we believe in the power of data and advanced analytics for better risk management. With over 40 years of expertise, we are the trusted data analytics provider for organizations seeking actionable insights to manage risks and improve results while upholding the highest standards for security and privacy. Headquartered in metro Atlanta, LexisNexis Risk Solutions serves customers in more than 100 countries and is part of RELX Group plc, a world-leading provider of information and analytics for professional and business customers across industries. For more information, please visit www.lexisnexisrisk.com.     This position performs simple data management and analysis tasks within a specific functional area or data type. Requires moderate communication with data sources and contacts.     QUALIFICATIONS:     Bachelor’s Degree (Engineering/Computer Science preferred but not required); or equivalent experience required.   2+ years’ experience in data management area with an analytical competencies demonstrated     TECHNICAL SKILLS:     Basic skill level using languages such as SQL, PowerShell, and AutoHotKey      Knowledge of various data types and formats including, but not limited to: image and various text based files     Efficient multitasking skills     Good research problem solving skills   Extreme attention to detail to spot file/data discrepancies   Ability and desire to learn new processes, tools, and technologies.   Proficient with Microsoft Office Suite of products   Good oral and written communications skills.     ACCOUNTABILITIES:   PSiCapture Document processing   Image file conversions using proprietary/off the shelf tools   Manual file management as needed   CrashLogic Ingest Tool   Upload files using Command Center, the ScanApp, or other method as needed   Use pre-designed queries to assess data for research purposes also create new queries as needed   Respond to Customer Operations, eCrash Admin, Tech Analysts, and CrashLogic Support personnel inquiries   Investigate, track, and report general data issues   Perform simple data problem solving within specific functional area or data type   All other duties as assigned         LexisNexis Risk Solutions is an equal opportunity employer: qualified applicants are considered for and treated during employment without regard to race, color, creed, religion, sex, national origin, citizenship status, disability status, protected veteran status, age, marital status, sexual orientation, gender identity, genetic information, or any other characteristic protected by law. If a qualified individual with a disability or disabled veteran needs a reasonable accommodation to use or access our online system, that individual should please contact 1.877.734.1938 or accommodations@relx.com.    ]"
