title,company,location,description
Data Scientist,emids,"Atlanta, Georgia, United States","Responsibilities                        ·         Data Scientist for Healthcare Payer Domain        Must Have Skills   ·         Data Science, Statistical modelling, Predictive Modelling, ML and Modelling Tools, Big Data and BI, Healthcare Payer Data, Python, R      Nice To Have Skills:   ·         SAS"
Data Scientist,Cardlytics,"Atlanta, GA, US","The big picture   Cardlytics makes marketing more relevant and measurable through our Purchase IntelligenceTM platform. With purchase data from more than 2,000 financial institutions (FIs), Cardlytics has a secure view into where and when consumers are spending their money. By applying advanced analytics to this massive aggregation of purchase data, we make it actionable, helping marketers/ advertisers identify, reach and influence likely buyers at scale, and measure the true sales impact of their marketing spend.    About The Role    This role will be a key team member of the data science group. You will work with the latest machine learning and AI frameworks building model solutions to critical business needs within the company. You will work with spend datasets and advertising campaign datasets that exceed terabytes in size. You will apply deep learning skills to model consumer behavior at scale and will pay a machine learning expert role in the analytics department. You will write and maintain complex SQL and Python programs to execute your model pipelines.  This is a great opportunity to join a growing team. Specifically, you will be involved in     Learning cutting technologies and data science skills   Working with an experienced and passionate team of data science professionals   Working with a large and comprehensive set of customer purchase data.         What You Will Accomplish      The Data Scientist will be a subject-matter expert on various analytical tools such statistical programming languages, deep learning, and machine-learning algorithms and provide this expertise throughout Cardlytics as needed   The Data Scientist will create, test, and deploy models that will impact new lines of business for the company   Learn new practices, design iterative learning and development cycles, and deliver prototypes to other groups for deployment into production and operations   Build full scale data science models for production       Skills And Experiences That Will Make You Successful      Bachelor’s degree in Statistics, Engineering, Decision Sciences, or similar field (Graduate degree preferred)   2+ years of proven success in a position of similar responsibilities or equivalent research time in an academic environment   Knowledge of advanced statistical modeling, testing, data mining, and data science techniques   Advanced skills in modeling frameworks including Scikit-learn, PyTorch, and TensorFlow   Highly proficient in Python and SQL   Proficiency in Linux working in shell   Experience with H2O, Data Robot or other automated AI tools are a plus   Experience with Tableau and other data visualization is preferred   Strong scientific approach to problem-solving   Excellent organizational, analytical and problem-solving skills   Ability to communicate complex results in a simple and concise manner to others   Ability to excel in a fast-paced, startup environment   Proficient in the use of Python or other leading statistical software/languages   Proficient in scripting processes in a Linux environment   Proficient with Data Sciences frameworks such as SkLearn, Tensorflow, and Pytorch.   Ability with Java a plus.   Experience with Python test automation frameworks a plus"
Data Scientist,Infor,Greater Atlanta Area,"TITLE:  Data Scientist Engineer      LOCATION: Atlanta, GA preferred or Remote             SUMMARY:   This position is leading the Artificial Intelligence (AI) and Machine Learning (ML) Center of Excellence (COE) initiative with the Infor Cloud Operations organization.   Applicant will lead science related work streams for implementations of solutions.  Applicants should have a strong mix of data science, data engineering and software development backgrounds.  While day to day responsibilities will vary, members of the AI/ML COE team are generally responsible for performing analysis on large data sets, translating business problems into mathematical models, collating and explaining results to varied audiences and taking responsibility for the analytical integrity of proposed solutions.      RESPONSIBILITIES:  ●  Collect, transform and load small and large data sets ●  Carry out specific analytical tasks, code algorithms, build tables, create and/or modify models, analyze results from competing approaches, etc. ●  Perform data analysis to create consumable reports of data summaries, charts and other findings ●  Design and test approaches to problems faced by operational teams ●  Analyze data to identify trends and relationships, outliers, etc.  ●  Track issue progress; coordinate and set expectations on priorities and resolutions ●  Create and execute tasks on analytical project plans, including delegation to others, where applicable ●  Participate in system and release testing   QUALIFICATIONS:  ●  PhD (or Master’s with equivalent experience) in one of the following (or related) fields: Operations Research, Operations Management, Mathematics, Statistics, Economics, Computer Science, Software Development, Chemistry, Physics ●  Ability to develop complex algorithms, when necessary, and simple algorithms, when possible. ●  Able to understand complex algorithms and discuss with people at all levels of background.  ●  Able to balance tradeoffs and make good decisions when faced with competing priorities ●  Demonstrated ability to mentor others and lead a team of Data and Science Engineers ●  Software Development experience,  coding and debugging models or algorithms in R, Python, Java, Tensorflow, LoudML or Jupyter notebooks ●  Experience  with Amazon Web Services, deploying and running models on the cloud ●  Basic SQL/database knowledge, InfluxDB is a plus        Infor does not discriminate in employment opportunities or practices on the basis of race, color, creed, religion, sex, gender identity or expression, sexual orientation, national origin, genetics, disability, marital status, age, veteran status, protected veterans, military service obligation, citizenship status, individuals with disabilities, or any other characteristic protected by law applicable to the state in which you work.         If you have a disability under the Americans with Disabilities Act or similar law, and you wish to discuss potential accommodations related to applying for employment at our company, please contact Human Resources at 470-548-7173 and/or ADAAA@infor.com.         Applicants to and employees of most United States private employers, state and local governments, educational institutions, employment agencies and labor organizations are protected under Federal law from discrimination. For additional information please see EEO is the Law poster, the EEO Supplemental as well as the Statement of Policy. If you would like to view a copy of the company’s affirmative action plan or policy statement, please email us.hrprograms@infor.com."
Data Scientist,"CapTech Ventures, Inc","Atlanta, GA, US","Company Description    CapTech is a national IT management consulting firm that bridges the gap between business and technology. We partner with some of the world's most successful companies to design, develop, and manage technical and digital solutions that delight customers, drive insights, and meet strategic objectives.  At CapTech, you’ll experience a flat organizational structure based upon a culture of mutual respect. Here, your career path isn’t set in stone, and you have unlimited potential for growth and the resources to help you achieve your career goals. If you are creative, technically insightful, driven–and have a passion for the work that we do, then you might be a future CapTecher.  For over five years, we have been in the Top 10 of Consulting Magazine’s Best Firms to Work For, including #2 for IT Firms and #5 for Work/Life Balance. We are also recognized by Vault.com’s Top 50 Consulting Firms and have been on the Inc. 5000 list of fastest growing companies for over 10 years.    Job Description    CapTech Data Scientists are responsible for designing and implementing data-driven solutions for our clients, with specific focus on advanced analytical methods, data models and visualizations. CapTech employees enjoy a collaborative environment and have many opportunities to learn from and share knowledge with other CapTech analysts, architects, and our clients.    Specific Responsibilities For The Data Science Position Include     Strategizing with clients on and implementing new analytical approaches (e.g., designing new segments to analyze customer behavior).  Developing data models and transformations, visualizations and reports using a variety of enterprise-level data platforms, e.g., Hadoop, Teradata, Amazon Web Services.  Designing and developing advanced analytical methods on client data (e.g., link analysis, natural language processing, decision trees and risk scoring).  Deconstructing client needs into data-driven processes/models and analytical measures.  Growing CapTech’s data science practice through client presentations, writing proposals, attending various business development events and leading teams of junior data analysts.      Qualifications      Specific qualifications for the Data Scientist position include:     Bachelor's degree or equivalent combination of education and experience  5+ years of hands-on experience manipulating and analyzing large (multi-billion record) data sets.  3+ years of demonstrable Python programming experience  5+ years of experience with enterprise reporting platforms (e.g., Tableau, Microstrategy, Business Objects, etc.) and developing advanced data visualizations.  5+ years of experience developing analytical metrics and measures for business/C-suite level reporting.  Expert proficiency with data warehousing tools/environments: Base SAS, Teradata, Oracle, Hadoop, SQL Server.  Comfort and proficiency in generating cross-industry business requirements and translating them down to data-driven approaches.   Experience in three (or more) of the following analytical practices: consumer analysis, marketing analysis, financial analysis, website analysis, healthcare analysis and/or social media analysis.  Expert proficiency in SQL, MapReduce/Hive, NoSQL and/or other data transformation techniques.  Moderate to expert proficiency in modern data manipulation techniques: Machine learning, natural language processing/text mining, predictive intelligence/statistics and simulation.  Strong communication, PowerPoint and writing skills.    Additional Information  We offer challenging and impactful jobs with professional career paths. All CapTechers can keep their hands-on technology no matter what position they hold. Our employees find their work exciting and rewarding in a culture filled with opportunities to have fun along the way.  At CapTech we offer a competitive and comprehensive benefits package including, but not limited to:   Competitive salary with performance-based bonus opportunities  Single and Family Health Insurance plans, including Dental coverage  Short-Term and Long-Term disability  Matching 401(k)  Competitive Paid Time Off  Training and Certification opportunities eligible for expense reimbursement  Team building and social activities  Mentor program to help you develop your career    CapTech is an equal opportunity employer committed to fostering a culture of equality, inclusion and fairness — each foundational to our core values. We strive to create a diverse environment where each employee is encouraged to bring their unique ideas, backgrounds and experiences to the workplace.   Candidates must be eligible to work in the U.S. for any employer directly (we are not open to contract or “corp to corp” agreements). At this time, CapTech cannot transfer nor sponsor a work visa for this position. Applicants must be authorized to work directly for any employer in the United States without visa sponsorship.  CapTech is a Drug-Free work place. Candidates must have the ability to work at CapTech’s client locations. All positions include the possibility of travel. CapTech has not contracted/does not contract with any outside vendors in its recruitment process. If you are interested in this position, please apply to CapTech directly."
Data Scientist,Luxoft,"Alpharetta, Georgia","Immediate Opening for a Mid to Senior Level Data Scientist to work on an exciting new platform to optimize Network and Operational cost savings across a leading Telecommunications company's entire operation. Will be looking at Data related to field operations, customer care and retention, network usage , etc.             Our team: Data Engineers, system engineers and scrum masters  Technologies used: Python, Spark and Hadoop       Responsibilities:    Obtaining, Cleaning and Analyzing Unstructured Data  Writing software and scripts to extract insights from data. Projects from Proof of Concept (PoC) thru production  Create models and use Machine Learning and AI tools and best practices to solve problems and obtain insights  Find anomalies in data and write relevant software to automate these processes  Maintain code quality through unit testing. Troubleshoot and resolve issues in software that is being developed  Collaborate with the team, customers and leadership to produce best in class ML/AI solutions  Will have to present findings to the team, clients and higher management      Mandatory Skills:    - Computer Science background - with a focus on Data Science - 3-4 years of actual data science experience - Python - Spark - Working knowledge of Hadoop (hive, hbase, phoenix, scala) - (Being able to get data and analyze data in a Hadoop environment) - R and R-Cloud - SQL (querying and working with major SQL DBs — e.g. Oracle, Postgres, MySQL, ..), - Strong communications and presentation skills - Self driven, willing and able to learn and adopt new technologies       Nice-to-Have Skills:    - Masters Degree in CS - Data Analysis Experience - Experience creating models utilizing Machine Learning and/or Statistics - Nanodegree in Machine Learning or AI - Ability to simplify complex ideas and analysis for a non-technical audience. - NumPy and other relevant Python libraries - Computer Network experience - Statistics/Math expertise                This is a full-time salaried position with a complete benefits package.     US Citizens and Green Card Holders are enourage to apply.     Will also consider OPT/EAD ( no subcontract candidates will be considered.)"
Data Scientist,JDC Group,"Atlanta, Georgia","Our leading client is looking for a skilled Data Scientist to join their Analytics Solutions team. They are growing their analytics capability and are looking for entrepreneurial-minded innovators who can help them further develop this service of exceptionally high value to their business.       The perfect candidate has experience with supply chain, forecasting, disruption predictions; got to have forecasted, it is the only component that is required.          Technologies:     Machine Learning (ML)   Demand Forecasting   Using ML to forecast data modeling   Reinforcement Learning   Optimization/Solver Algorithms   Background in Multi-Vari statistics   AWS   Sagemaker   Python   Python/Anaconda/Jupyter Notebook        Soft Skills: Must be proactive, must take ownership of tasks. Someone who is willing to be decisive and take action (even if the solution is not correct) versus someone who can't make a decision/take action.  Must be someone with experience in these functionalities.  This is not a ""next step"" role.  Has to be someone who has ""been there done that"".         Required:      A minimum of 4 years of post-academic experience       developing advanced analytics and applying data science in a business       environment     DEMAND FORECASTING experience is a REQUIREMENT     The ability to rapidly develop a proof of concepts and       test new ideas, as well as the ability to scale these ideas into       production-ready models that can be deployed within an organization    Experience in data mining techniques and methodologies       (data prep/modeling, classification, regression, clustering, causal       modeling, AI, machine learning, ensemble approaches)    Experience developing in Python within a production       environment    Advanced experience in data visualization tools with a       strong grasp of effective data modeling and visualization practices    Examples of how your passion for data-driven decision       making and intellectual curiosity translated into value for your       organization    Strong communicator skilled at working with a variety of       business experts and customers    Examples of converting research/white papers into       useful algorithms for solving very difficult business problems      Preferred:      SageMaker, Git"
Data Scientist,Cognizant,"Atlanta, GA, US","Data Scientist    Qualification    Bachelors in science , engineering or equivalent    Responsibility    Project Planning and Setup:    Understand project scope.   Based on the analysis of the type of the project provide inputs on project methodology to senior stakeholders (Project Manager / Architects etc).   Consolidate inputs from developers and collectively provide inputs on activities/ tasks, task level estimates, schedule, dependencies, risks etc.   Consolidate inputs from developers and collectively provide inputs to testing strategy, configuration, deployment, hardware/software requirement etc.   Analyze in detail resources required for every phase, conduct estimation of time utilization of different resources and activities, prepare resource and development plan or provide inputs and review with PM.   Participate in KT sessions conducted by customer/ other business teams.     Requirement Understanding And Analysis      Along with the Business Analyst, gather requirements (functional and nonfunctional) from customer.   Analyze requirements for feasibility with regards to testing and implementation.   Provide inputs for requirements prioritization.   Debrief team on the requirements gathered and seek feedback.   Participate in client calls and seek clarifications if any.   Create and maintain requirements traceability matrix along with BA.   Provide inputs during creation of operational concepts and scenarios.   Work with administrators to setup security requirements.     Design      Understand various functional and non functional requirements and HLD in order to provide inputs to create LLD and review.   Recommend make/ buy or alternate solutions.   Provide inputs in designing end to end solution from a technical perspective.   Create code development checklist.   Prepare UI specifications / mock ups for reports / dashboards and provide guidance to team members/ designers for creating data mapping documents or unit documents for ETL &amp; BI.   Provide inputs to data modeling based on the project understanding.   Walkthrough the design along with PM to the customer and coordinate to seek signoff on design and other artifacts.     Coding      Guide team in coding as per design.   Define the Development framework, reusable templates based on the organization repository and past experience.   Allocate modules to developers for coding.   Provide inputs for setting up development environment.   Provide guidance to developers and set standards.   Review pseudo codes written by developers and provide a go ahead for code development.   Review final codes written by developers on adherence to standards/functionality and approve for testing.   Monitor code merge to build environment and provide consolidated feedback to design.     Testing Management      Provide inputs to testing strategy / approach at a high level.   Review test cases written by team.   In case of small projects, review/ guide for SIT and other testing.   Provide support for development of unit/ integration test cases as required.   Check if peer review is completed at each step of test execution.   Monitor defects raised and closed.   Conduct root cause analysis to avoid repetition of defects.   Follow up with team assigned for rework on code defects and close the same.   Attend QA audits as and when required.     Deployment      Setup instructions.   Understand release and deployment environment and provide inputs for release/deployments plan.   Resolve issues that arise during project deployment/ closure.   Check that all action items mentioned in the deployment checklist have been completed.   Monitor and review smoke testing, mock runs.   Project Execution Monitoring &amp; closure (Support to Project Management activities):    Provide status inputs to the project manager.   Support Project Manager in creating a weekly status report including tasks achieved in the week and plan for next week.   Provide guidance to team through SDLC.   Track metrics wrt plan and monitor the same.   Collect and present metrics (utilization, time spent on each activity / team etc) to the Project Manager.   In case of change in the project, support in creating a first level impact analysis.   Support project manager in gathering all documents required for audits and maintain them regularly.     Service Support And Maintenance      Create transition plan.   provide transition walkthrough to the maintenance team.     Stakeholder Management      Understand internal stakeholders (Account Manager, Project Managers etc) and client expectations.   Follow through on commitments, achieve timely resolution of issues.     Knowledge Management      Provide guidance to team members to maintain all documentation related to project.   Create/ guide creation of knowledge articles on the problem, workaround solutions, best practices, new methodology implemented, retrospection report etc.   Monitor and report the usage of knowledge articles.     People Management      Provide assistance in selection of representative employee groups for training.   Conduct training or knowledge sharing sessions.   Mentor team members in project teams with respect to product and domain skills on projects.   Conduct technical, face to face interviews.   Conduct / support managers in conducting appraisals for team members and share final ratings with the relevant stakeholders.   Coordinate with the project/program manager in understanding how the employee can better contribute to the project, seek feedback and address concerns.     Sales Support      Understand RFP.   Participate in ongoing calls with the vertical team members.   Provide references.   Create relevant parts of the proposal and identify the case studies to be included.   Provide time and resource estimates based on technical complexity and type of work done earlier.   List out the challenges, dependencies, assumptions and timelines required for the project under guidance.   Provide inputs on technology preference based on the project requirements.   Review with the applicable vertical teams and incorporate their feedback.   Technical Skills   SNo   Primary Skill   Proficiency Level *   Rqrd./Dsrd.   1 Statistica PL4 Required  2 3NF data modeling PL3 Desired  3 Python PL4 Required  4 PL/SQL PL3 Desired  Domain Skills   SNo   Primary Skill   Proficiency Level *   Rqrd./Dsrd.   1 Airport Operations NA Required    Proficiency Legends    Proficiency Level   Generic Reference   PL1 The associate has basic awareness and comprehension of the skill and is in the process of acquiring this skill through various channels.  PL2 The associate possesses working knowledge of the skill, and can actively and independently apply this skill in engagements and projects.  PL3 The associate has comprehensive, in-depth and specialized knowledge of the skill. She / he has extensively demonstrated successful application of the skill in engagements or projects.  PL4 The associate can function as a subject matter expert for this skill. The associate is capable of analyzing, evaluating and synthesizing solutions using the skill.  Employee Status : Full Time Employee  Shift : Day Job  Travel : No  Job Posting : Nov 21 2019    About Cognizant    Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 193 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @Cognizant. Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service."
Data Scientist,Oak Ridge Institute for Science and Education,"Atlanta, Georgia","*Applications will be reviewed on a rolling-basis.          A research opportunity is currently available within the Influenza Division (ID), in the National Center for Immunization and Respiratory Diseases (NCIRD) at the Centers for Disease Control and Prevention (CDC) located in Atlanta, Georgia. ID performs domestic and international influenza surveillance, aids in influenza diagnosis, and is a leader in influenza virus characterization and control efforts.       The Influenza Division's Office of the Director (ID/OD) Informatics Group performs cross-cutting work spanning multiple areas, including the development of computational methods, data integration and enrichment, statistical analysis, laboratory automation, system management, special R&amp;D projects, and technical consultation. The Informatics Group seeks to empower and strengthen informatics efforts throughout the division via innovation, collaboration, service, and the management of shared analytics resources. Additionally, the group serves as a forum for informatics knowledge exchange, helping to align division-wide computational efforts.       Under the guidance of a mentor, the participant will have opportunities to engage in a variety of data enrichment projects using techniques such as anomaly detection and/or feature selection. Statistical and evolutionary research projects are also available, such as augmenting systems for evolutionary group annotation, passage-mutation model refinement, and the high-throughput inference of virus reassortants. The participant will be trained to use distributed database techniques, such as Apache Hive and Apache Impala, using structured query language (SQL). There will also be opportunities to learn distributed scientific computation in the context of Apache Spark or Univa Grid Engine. The participant will gain experience using Git and GitLab and will receive training to enhance programming skills. Finally, the participant will learn about influenza, its molecular classifications and antigenic characterization, as well as the data ecosystem necessary for a world-class influenza surveillance system.          Qualifications    The qualified candidate should have received a master's degree in Bioinformatics, Biostatistics, Computer Sciences, Evolutionary Biology, Probability and Statictics, or Public Health. Degree must have been received within five years of the appointment start date.       Preferred skills:    Skill in at least one programming or scripting language (C/C++, Java, Perl, Python, R, Scala)   Working knowledge of Linux command line (BASH, etc.) operations   Training or experience in using Structured Query Language (SQL)   Experience in one of the following will be strongly preferred: (a) probability estimation, (b) machine learning, (c) inferential statistics, or (d) Bayesian Graphical Models                  If you have questions, send an email to ORISE.CDC.NCIRD@orau.org. Please include the reference code for this opportunity (CDC-ID-2020-0016) in your email."
Data Scientist,Mailchimp,"Atlanta, GA, US","Mailchimp is a leading marketing platform for small business. We empower millions of customers around the world to build their brands and grow their companies with a suite of marketing automation, multichannel campaign, CRM, and analytics tools.  The Data Science team builds applications that make sense of the data created by Mailchimp’s millions of users. By using predictive analytics and big data technologies we help Mailchimp fight spam and empower small businesses with information. We work closely with Mailchimp’s Development and Operations teams to make analytical insights actionable within our infrastructure.  Mailchimp is looking for a Data Scientist to help our data science team’s research efforts. You’ll work alongside software engineers by trialing analyses and training predictive models on our data that will eventually become customer facing and/or internal services, and you'll touch hundreds of terabytes of data.  The ideal candidate is a self-directed, experienced data scientist who believes in demonstrating how data can be used to help our customers. You love new challenges, but you're skeptical of the new hotness. You’ve run analyses using various tools, but you're partial to Python. Communication and cross-validation are tools you use every day.    What You'll Do       Work to develop analytical techniques for our predictive models as well as improve existing ones using Python’s scientific computing stack     Help to identify opportunities in Mailchimp data systems     Work to improve quality and mitigate bias in Mailchimp data systems     Embrace and demonstrate our values: humility, creativity, and independence        We'd Love To Hear From You If        2+ years experience working on data science projects or applications      Development experience in a scientific programming language (Python, R, Matlab, Julia)     Understanding of statistical analysis and machine learning techniques     Experience in database systems (SQL or NoSQL)     Experience with Cloud platforms (Google Cloud, AWS...)     Ability to communicate methods and results of analyses        Bonus Points If       Advanced degree in quantitative or technical field     Mailchimp is a founder-owned and highly profitable company headquartered in the heart of Atlanta. Our purpose is to empower the underdog, and our mission is to democratize cutting edge marketing technology for small business. We offer our employees an exceptional workplace , extremely competitive compensation, fully paid benefits (for employees and their families), and generous profit sharing . We hire humble , collaborative, and ambitious people, and give them endless opportunities to grow and succeed.  Our headquarters is in the historic Ponce City Market , right on the Atlanta Beltline . If you'd like to be considered for this position, please apply below. We look forward to meeting you!  Mailchimp is an equal opportunity employer, and we value diversity at our company. We don't discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
