Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Sudoku,4.0,3553.0,2.99,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",15853568.0,4009,764,0,0,0,0,0,0,0,0,1,0,0,0,0,1617,3245
Reversi,3.5,284.0,1.99,['0.0'],Kiss The Machine,4.0,EN,12328960.0,4009,412,0,0,1,0,0,0,0,0,0,0,0,0,0,1222,3597
Morocco,3.0,8376.0,0.0,['0.0'],Bayou Games,4.0,EN,674816.0,4009,666,0,0,1,0,0,0,0,0,0,0,0,0,0,582,3343
Sudoku (Free),3.5,190394.0,0.0,['0.0'],Mighty Mighty Good Games,4.0,"DA, NL, EN, FI, FR, DE, IT, JA, KO, NB, PL, PT, RU, ZH, ES, SV, ZH",21552128.0,3997,764,0,0,0,0,0,0,0,0,1,0,0,0,0,1675,3233
Senet Deluxe,3.5,28.0,2.99,['0.0'],RoGame Software,4.0,"DA, NL, EN, FR, DE, EL, IT, JA, KO, NO, PT, RU, ZH, ES, SV",34689024.0,4002,346,0,0,1,0,0,1,0,0,0,0,0,0,0,2076,3656
Sudoku - Classic number puzzle,3.0,47.0,0.0,['1.99'],OutOfTheBit Ltd,4.0,EN,48672768.0,3990,65,0,0,0,0,0,0,1,0,1,0,0,0,0,2255,3925
Colony,2.5,125.0,0.99,['0.0'],Chris Haynes,4.0,EN,64333824.0,3986,273,0,0,1,0,0,0,0,0,0,0,0,0,0,826,3713
Carte,2.5,44.0,0.0,['0.0'],Jean-Francois Pautex,4.0,FR,2657280.0,3986,587,0,0,1,0,0,0,1,0,0,0,0,0,0,430,3399
"""Barrels O' Fun""",2.5,184.0,0.0,['0.0'],BesqWare,4.0,EN,1466515.0,3988,3988,0,0,0,0,1,0,0,0,0,0,0,0,0,562,0
Quaddraxx,0.0,0.0,0.0,['0.0'],H2F Informationssysteme GmbH,4.0,EN,3089867.0,3978,3928,0,0,0,0,0,0,1,0,1,0,0,0,0,753,50
Lumen Lite,3.5,5072.0,0.0,['0.0'],Bridger Maxwell,4.0,EN,7086403.0,3971,3875,0,0,0,0,0,0,0,0,1,0,0,0,0,591,96
BubblePop,3.0,526.0,0.0,['0.0'],TMSOFT,4.0,EN,845008.0,3967,3630,0,0,0,0,0,0,1,0,0,0,0,0,0,649,337
Marple,3.5,989.0,0.99,['0.0'],Mikko Kankainen,4.0,EN,3643392.0,3961,59,0,0,0,0,0,0,0,0,1,0,0,0,0,1456,3902
Tetravex Lite,2.5,2358.0,0.0,['0.0'],Futrell Software,4.0,EN,731525.0,3962,3907,0,0,0,0,0,0,1,0,1,0,0,0,0,971,55
Awele/Oware - Mancala HD,3.0,112.0,0.0,['0.99'],SOLILAB,4.0,"EN, FR, DE, IT, ES",122826752.0,3958,1549,0,0,1,0,0,0,0,0,0,0,0,0,0,618,2409
Chess Game,3.0,504.0,0.0,['0.0'],Memention Holding AB,4.0,EN,444163.0,3956,3556,0,0,1,0,0,0,0,0,0,0,0,0,0,566,400
Catcha Mouse,3.5,95971.0,0.0,"['1.99', '0.99', '1.99', '0.99', '4.99', '1.99', '1.99']","Meme, Inc",4.0,EN,26820692.0,3786,2259,0,0,0,0,0,0,0,0,1,0,0,0,0,794,1527
